Time,Rating,Sentiment,Product
2000,4.333333333333333,Excellent,Apparel
2001,3.6,Poor,Apparel
2002,4.393605292171996,Excellent,Apparel
2003,4.0936626281453865,Average,Apparel
2004,4.077216801018244,Average,Apparel
2005,3.947919615058024,Fair,Apparel
2006,3.90662278897573,Poor,Apparel
2007,4.042399969191666,Average,Apparel
2008,4.036593676849685,Fair,Apparel
2009,4.048380712905404,Average,Apparel
2010,3.994711949597724,Fair,Apparel
2011,4.018848579719697,Fair,Apparel
2012,4.103377001562105,Good,Apparel
2013,4.116522122472333,Good,Apparel
2014,4.104898852214316,Good,Apparel
2015,4.111915630076736,Good,Apparel
1999,3.2,Poor,Automotive
2000,4.032258064516129,Average,Automotive
2001,3.9166666666666665,Fair,Automotive
2002,4.111111111111111,Good,Automotive
2003,3.86,Fair,Automotive
2004,3.854092526690392,Fair,Automotive
2005,3.693939393939394,Poor,Automotive
2006,3.752054794520548,Poor,Automotive
2007,4.000900292595094,Average,Automotive
2008,3.9724207638437656,Average,Automotive
2009,3.979867173468109,Average,Automotive
2010,4.005191294297412,Average,Automotive
2011,4.063601092110935,Good,Automotive
2012,4.143288448490202,Good,Automotive
2013,4.209058964675684,Excellent,Automotive
2014,4.26717259371536,Excellent,Automotive
2015,4.296954624480444,Excellent,Automotive
1999,4.553571428571429,Excellent,Baby
2000,4.369098712446352,Excellent,Baby
2001,3.902136115250869,Fair,Baby
2002,3.690338807515905,Poor,Baby
2003,3.726006470165349,Poor,Baby
2004,3.728219580933709,Poor,Baby
2005,3.818865591674824,Fair,Baby
2006,3.87888153053716,Fair,Baby
2007,4.050194010546214,Average,Baby
2008,4.101088253371416,Good,Baby
2009,4.057668312266045,Average,Baby
2010,4.024324278351393,Average,Baby
2011,4.0176901354520655,Average,Baby
2012,4.071612443667087,Average,Baby
2013,4.192106562992941,Good,Baby
2014,4.20438074646335,Good,Baby
2015,4.244122731287546,Good,Baby
2000,4.0,Fair,Beauty
2001,3.778210116731517,Poor,Beauty
2002,3.679012345679012,Poor,Beauty
2003,3.7547923322683694,Poor,Beauty
2004,4.066870144284128,Average,Beauty
2005,4.044112054759792,Fair,Beauty
2006,4.054559558696776,Fair,Beauty
2007,4.1537246366636245,Good,Beauty
2008,4.149315868301475,Good,Beauty
2009,4.119377434625395,Good,Beauty
2010,4.071426323243981,Average,Beauty
2011,4.054887596620429,Average,Beauty
2012,4.087028192972508,Average,Beauty
2013,4.157338167124637,Good,Beauty
2014,4.197596397151027,Excellent,Beauty
2015,4.236968545108583,Excellent,Beauty
1995,4.611111111111111,Excellent,Books
1996,4.602355460385439,Excellent,Books
1997,4.433925157060912,Excellent,Books
1998,4.304548576346079,Good,Books
1999,4.212570381789262,Average,Books
2000,4.2389315519698005,Average,Books
2001,4.199581479924747,Average,Books
2002,4.166533530421827,Fair,Books
2003,4.133782297216212,Fair,Books
2004,4.116753147956809,Fair,Books
2005,4.14908234273661,Fair,Books
1998,5.0,Excellent,Camera
1999,4.342105263157895,Excellent,Camera
2000,4.179353152564522,Good,Camera
2001,4.076297577854671,Average,Camera
2002,3.97416918429003,Fair,Camera
2003,3.9309686221009534,Fair,Camera
2004,3.808695652173913,Fair,Camera
2005,3.859865354738477,Fair,Camera
2006,3.9547590701171753,Fair,Camera
2007,4.127295202286833,Average,Camera
2008,4.091891230788047,Average,Camera
2009,4.027877149310077,Average,Camera
2010,3.991254956335596,Average,Camera
