Time,Rating
2008-01-26,1.0
2008-02-05,2.5
2008-02-08,4.0
2008-02-11,2.0
2008-02-13,3.0
2008-02-14,5.0
2008-02-15,1.0
2008-02-17,5.0
2008-02-23,1.0
2008-03-01,3.0
2008-03-02,5.0
2008-03-09,3.0
2008-03-12,4.0
2008-03-15,1.0
2008-03-17,1.0
2008-03-23,1.0
2008-03-26,2.0
2008-03-30,5.0
2008-04-06,1.0
2008-04-12,3.0
2008-04-14,4.0
2008-09-09,5.0
2008-12-07,1.0
2008-12-16,1.0
2008-12-27,3.0
2009-01-05,1.0
2009-01-09,1.0
2009-01-10,4.0
2009-01-11,5.0
2009-01-12,1.0
2009-01-14,5.0
2009-01-15,1.5
2009-01-16,5.0
2009-01-17,1.0
2009-01-18,1.0
2009-01-21,1.0
2009-01-23,1.0
2009-01-25,3.5
2009-01-26,5.0
2009-01-27,1.0
2009-01-28,3.0
2009-01-30,4.333333333333333
2009-01-31,3.0
2009-02-01,2.625
2009-02-02,1.25
2009-02-03,2.4285714285714284
2009-02-05,1.0
2009-02-07,3.0
2009-02-08,4.5
2009-02-09,2.3333333333333335
2009-02-11,1.75
2009-02-14,1.0
2009-02-15,1.0
2009-02-17,4.666666666666667
2009-02-18,1.6666666666666667
2009-02-19,2.0
2009-02-20,1.0
2009-02-21,1.0
2009-02-22,4.5
2009-02-23,1.0
2009-02-25,3.0
2009-02-26,5.0
2009-02-27,1.0
2009-03-01,4.0
2009-03-03,3.0
2009-03-04,1.0
2009-03-06,1.0
2009-03-08,3.0
2009-03-11,1.0
2009-03-12,1.0
2009-03-14,5.0
2009-03-16,1.0
2009-03-19,1.0
2009-03-20,2.0
2009-03-22,3.0
2009-03-23,3.3333333333333335
2009-03-24,5.0
2009-03-28,4.0
2009-03-29,3.5
2009-03-30,2.6666666666666665
2009-03-31,4.0
2009-04-01,3.5
2009-04-04,1.0
2009-04-05,2.0
2009-04-06,2.8
2009-04-07,4.2
2009-04-08,1.0
2009-04-09,1.0
2009-04-10,5.0
2009-04-11,4.2
2009-04-12,3.0
2009-04-13,3.2
2009-04-14,2.75
2009-04-15,2.4444444444444446
2009-04-16,3.6666666666666665
2009-04-17,1.0
2009-04-19,5.0
2009-04-24,1.0
2009-04-27,2.5
2009-05-04,1.0
2009-06-11,3.0
2009-06-17,4.0
2009-06-21,1.0
2009-06-26,2.0
2009-07-12,3.0
2009-07-20,3.0
2009-07-22,4.0
2009-08-08,5.0
2009-08-11,4.0
2009-08-12,2.0
2009-08-17,1.0
2009-08-21,1.5
2009-08-23,3.0
2009-08-28,4.0
2009-08-30,5.0
2009-08-31,4.0
2009-09-01,1.0
2009-09-07,3.0
2009-09-09,1.0
2009-09-11,3.0
2009-09-12,4.0
2009-09-14,1.0
2009-09-15,1.0
2009-09-27,1.0
2009-09-30,1.0
2009-10-02,3.0
2009-10-05,4.0
2009-10-11,4.0
2009-10-16,1.6666666666666667
2009-10-17,1.0
2009-10-18,3.6666666666666665
2009-10-20,3.75
2009-10-31,1.0
2009-11-04,1.0
2009-11-05,5.0
2009-11-08,4.0
2009-11-09,5.0
2009-11-10,4.0
2009-11-11,5.0
2009-11-12,5.0
2009-11-14,4.0
2009-11-15,1.0
2009-11-16,3.0
2009-11-18,1.6666666666666667
2009-11-19,4.5
2009-11-20,2.0
2009-11-21,1.0
2009-11-25,3.0
2009-11-26,4.0
2009-11-28,5.0
2009-11-30,1.0
2009-12-02,4.0
2009-12-04,4.0
2009-12-06,5.0
2009-12-08,1.0
2009-12-09,2.5
2009-12-10,3.5
2009-12-11,5.0
2009-12-12,1.0
2009-12-13,2.3333333333333335
2009-12-14,1.0
2009-12-15,4.0
2009-12-16,5.0
2009-12-19,3.5
2009-12-20,3.6
2009-12-21,1.0
2009-12-22,1.0
2009-12-23,5.0
2009-12-24,5.0
2009-12-25,3.0
2009-12-26,2.0
2009-12-27,2.0
2009-12-28,1.0
2009-12-29,2.0
2009-12-30,3.0
2009-12-31,4.5
2010-01-01,3.0
2010-01-02,3.4
2010-01-03,2.5
2010-01-04,2.0
2010-01-05,4.0
2010-01-07,2.3333333333333335
2010-01-08,3.5
2010-01-09,2.25
2010-01-10,3.2
2010-01-11,1.5
2010-01-12,4.0
2010-01-13,4.0
2010-01-14,4.5
2010-01-16,4.0
2010-01-17,2.5
2010-01-18,4.0
2010-01-20,1.75
2010-01-21,1.0
2010-01-22,3.25
2010-01-23,3.2
2010-01-24,3.4285714285714284
2010-01-25,2.4
2010-01-26,2.2
2010-01-27,3.5
2010-01-28,3.75
2010-01-29,2.3333333333333335
2010-01-30,3.0714285714285716
2010-01-31,3.0
2010-02-01,3.1666666666666665
2010-02-02,3.0
2010-02-03,2.8333333333333335
2010-02-04,4.25
2010-02-05,2.6666666666666665
2010-02-06,2.8333333333333335
2010-02-07,1.6666666666666667
2010-02-08,3.75
2010-02-09,2.0
2010-02-10,3.75
2010-02-11,2.2
2010-02-12,4.4
2010-02-13,3.2222222222222223
2010-02-14,3.0
2010-02-15,2.6666666666666665
2010-02-16,4.0
2010-02-17,2.75
2010-02-18,2.8
2010-02-19,2.6666666666666665
2010-02-20,2.0
2010-02-21,3.142857142857143
2010-02-22,1.0
2010-02-23,2.0
2010-02-24,4.2
2010-02-25,4.5
2010-02-26,2.5
2010-02-27,3.0
2010-02-28,2.8333333333333335
2010-03-01,4.0
2010-03-02,3.3333333333333335
2010-03-03,3.0
2010-03-04,2.6666666666666665
2010-03-06,2.3333333333333335
2010-03-07,2.6666666666666665
2010-03-08,3.5
2010-03-09,1.6666666666666667
2010-03-10,2.0
2010-03-11,2.0
2010-03-12,2.75
2010-03-13,2.3333333333333335
2010-03-14,2.5
2010-03-15,2.0
2010-03-16,2.5
2010-03-17,1.0
2010-03-18,4.0
2010-03-19,3.0
2010-03-20,2.75
2010-03-21,4.5
2010-03-22,4.0
2010-03-23,2.25
2010-03-24,3.0
2010-03-25,5.0
2010-03-26,3.0
2010-03-28,2.0
2010-03-29,1.2
2010-03-30,2.0
2010-03-31,2.5
2010-04-01,2.0
2010-04-02,5.0
2010-04-03,3.0
2010-04-04,2.5714285714285716
2010-04-05,1.3333333333333333
2010-04-06,1.8
2010-04-07,3.4
2010-04-08,2.2857142857142856
2010-04-09,2.25
2010-04-10,3.0
2010-04-11,2.0
2010-04-12,1.0
2010-04-13,2.0
2010-04-14,3.8
2010-04-15,2.25
2010-04-17,1.0
2010-04-18,5.0
2010-04-19,1.0
2010-04-20,5.0
2010-04-21,2.5
2010-04-22,3.5
2010-04-23,2.3333333333333335
2010-04-24,3.0
2010-04-28,5.0
2010-04-30,3.0
2010-05-01,1.5
2010-05-02,2.3529411764705883
2010-05-03,2.6875
2010-05-04,3.4
2010-05-05,2.3333333333333335
2010-05-06,2.3333333333333335
2010-05-07,2.4
2010-05-08,3.6666666666666665
2010-05-10,1.0
2010-05-11,1.5
2010-05-12,3.25
2010-05-13,1.5
2010-05-14,5.0
2010-05-15,4.0
2010-05-16,2.0
2010-05-17,2.5
2010-05-18,5.0
2010-05-19,2.5
2010-05-20,1.0
2010-05-22,1.0
2010-05-23,3.5
2010-05-25,2.75
2010-05-26,3.6666666666666665
2010-05-27,4.0
2010-05-28,2.3333333333333335
2010-05-29,3.0
2010-05-30,4.0
2010-05-31,4.0
2010-06-01,3.0
2010-06-02,3.0
2010-06-03,3.0
2010-06-04,5.0
2010-06-05,3.0
2010-06-06,5.0
2010-06-09,3.0
2010-06-11,1.0
2010-06-12,5.0
2010-06-13,4.0
2010-06-14,5.0
2010-06-16,5.0
2010-06-17,1.5
2010-06-18,5.0
2010-06-19,5.0
2010-06-22,1.0
2010-06-23,3.5
2010-06-24,3.2
2010-06-25,1.0
2010-06-26,1.0
2010-06-29,5.0
2010-06-30,3.3333333333333335
2010-07-01,4.5
2010-07-02,1.5
2010-07-03,3.3333333333333335
2010-07-05,5.0
2010-07-07,4.5
2010-07-08,1.0
2010-07-09,3.0
2010-07-11,5.0
2010-07-12,5.0
2010-07-14,1.0
2010-07-15,5.0
2010-07-17,5.0
2010-07-18,1.0
2010-07-19,5.0
2010-07-20,2.0
2010-07-21,5.0
2010-07-22,5.0
2010-07-23,4.25
2010-07-24,5.0
2010-07-25,2.5
2010-07-27,4.0
2010-07-28,2.5
2010-07-30,2.5
2010-07-31,1.0
2010-08-01,2.0
2010-08-03,4.5
2010-08-05,3.3333333333333335
2010-08-06,4.0
2010-08-09,5.0
2010-08-11,5.0
2010-08-12,5.0
2010-08-13,4.5
2010-08-14,2.5
2010-08-15,4.5
2010-08-17,4.0
2010-08-18,4.5
2010-08-19,5.0
2010-08-20,1.0
2010-08-21,4.0
2010-08-22,2.8
2010-08-23,3.7
2010-08-24,3.75
2010-08-26,3.0
2010-08-28,3.3333333333333335
2010-08-29,3.5
2010-08-30,1.3333333333333333
2010-08-31,5.0
2010-09-01,3.4
2010-09-02,1.0
2010-09-05,5.0
2010-09-06,1.0
2010-09-07,1.0
2010-09-08,2.0
2010-09-10,4.666666666666667
2010-09-11,1.0
2010-09-12,2.6
2010-09-13,1.0
2010-09-14,5.0
2010-09-15,3.0
2010-09-17,1.0
2010-09-18,3.0
2010-09-19,2.2
2010-09-21,5.0
2010-09-22,3.8
