Time,Rating,Sentiment,Product
2000,4.333333333333333,Excellent,Apparel
2001,3.6,Poor,Apparel
2002,4.393605292171996,Excellent,Apparel
2003,4.0936626281453865,Average,Apparel
2004,4.077216801018244,Average,Apparel
2005,3.947919615058024,Fair,Apparel
2006,3.90662278897573,Poor,Apparel
2007,4.042399969191666,Average,Apparel
2008,4.036593676849685,Fair,Apparel
2009,4.048380712905404,Average,Apparel
2010,3.994711949597724,Fair,Apparel
2011,4.018848579719697,Fair,Apparel
2012,4.103377001562105,Good,Apparel
2013,4.116522122472333,Good,Apparel
2014,4.104898852214316,Good,Apparel
2015,4.111915630076736,Good,Apparel
