Time,Rating,Sentiment,Product
1999-10-24,4.0,Fair,Automotive
1999-12-06,2.0,Poor,Automotive
1999-12-10,5.0,Excellent,Automotive
1999-12-16,1.0,Poor,Automotive
1999-12-24,4.0,Fair,Automotive
2000-02-02,1.0,Poor,Automotive
2000-04-24,1.0,Poor,Automotive
2000-05-03,5.0,Excellent,Automotive
2000-05-13,5.0,Excellent,Automotive
2000-05-27,4.0,Fair,Automotive
2000-06-06,4.0,Fair,Automotive
2000-06-13,5.0,Excellent,Automotive
2000-06-14,5.0,Excellent,Automotive
2000-06-15,4.0,Fair,Automotive
2000-06-21,4.0,Fair,Automotive
2000-06-23,4.5,Excellent,Automotive
2000-07-20,1.0,Poor,Automotive
2000-07-31,4.0,Fair,Automotive
2000-08-06,5.0,Excellent,Automotive
2000-09-21,4.0,Fair,Automotive
2000-09-23,5.0,Excellent,Automotive
2000-09-26,3.0,Poor,Automotive
2000-10-07,5.0,Excellent,Automotive
2000-10-14,5.0,Excellent,Automotive
2000-10-16,5.0,Excellent,Automotive
2000-10-25,5.0,Excellent,Automotive
2000-11-07,5.0,Excellent,Automotive
2000-11-09,4.0,Fair,Automotive
2000-11-23,4.0,Fair,Automotive
2000-12-27,2.5,Poor,Automotive
2000-12-31,4.0,Fair,Automotive
2001-01-02,1.0,Poor,Automotive
2001-01-07,2.0,Poor,Automotive
2001-01-08,4.0,Fair,Automotive
2001-01-19,1.0,Poor,Automotive
2001-02-14,4.0,Fair,Automotive
2001-02-28,5.0,Excellent,Automotive
2001-03-05,2.0,Poor,Automotive
2001-03-12,5.0,Excellent,Automotive
2001-03-31,5.0,Excellent,Automotive
2001-04-04,2.5,Poor,Automotive
2001-04-08,4.0,Fair,Automotive
2001-04-13,5.0,Excellent,Automotive
2001-05-26,5.0,Excellent,Automotive
2001-05-29,5.0,Excellent,Automotive
2001-05-30,5.0,Excellent,Automotive
2001-06-02,4.0,Fair,Automotive
2001-06-11,5.0,Excellent,Automotive
2001-06-12,4.0,Fair,Automotive
2001-06-18,4.0,Fair,Automotive
2001-07-03,2.0,Poor,Automotive
2001-07-14,4.0,Fair,Automotive
2001-08-08,3.0,Poor,Automotive
2001-08-21,5.0,Excellent,Automotive
2001-08-23,2.0,Poor,Automotive
2001-09-23,4.0,Fair,Automotive
2001-10-10,5.0,Excellent,Automotive
2001-10-14,5.0,Excellent,Automotive
2001-11-04,4.0,Fair,Automotive
2001-11-10,4.0,Fair,Automotive
2001-11-20,4.0,Fair,Automotive
2001-11-22,5.0,Excellent,Automotive
2001-11-25,5.0,Excellent,Automotive
2001-11-27,5.0,Excellent,Automotive
2001-12-10,2.0,Poor,Automotive
2001-12-11,5.0,Excellent,Automotive
2001-12-12,1.0,Poor,Automotive
2001-12-15,5.0,Excellent,Automotive
2001-12-17,3.0,Poor,Automotive
2001-12-26,4.5,Excellent,Automotive
2001-12-27,5.0,Excellent,Automotive
2001-12-28,4.0,Fair,Automotive
2001-12-29,5.0,Excellent,Automotive
2002-01-07,2.0,Poor,Automotive
2002-01-09,3.0,Poor,Automotive
2002-01-12,4.0,Fair,Automotive
2002-01-19,4.0,Fair,Automotive
2002-02-04,5.0,Excellent,Automotive
2002-02-05,5.0,Excellent,Automotive
2002-02-13,4.0,Fair,Automotive
2002-02-22,2.0,Poor,Automotive
2002-03-15,5.0,Excellent,Automotive
2002-03-28,1.0,Poor,Automotive
2002-04-06,5.0,Excellent,Automotive
2002-05-10,4.0,Fair,Automotive
2002-05-22,5.0,Excellent,Automotive
2002-05-23,5.0,Excellent,Automotive
2002-05-25,4.0,Fair,Automotive
2002-06-07,5.0,Excellent,Automotive
2002-06-20,5.0,Excellent,Automotive
2002-06-22,2.0,Poor,Automotive
2002-06-26,3.0,Poor,Automotive
2002-07-09,5.0,Excellent,Automotive
2002-07-11,5.0,Excellent,Automotive
2002-07-12,2.0,Poor,Automotive
2002-07-17,5.0,Excellent,Automotive
2002-07-24,5.0,Excellent,Automotive
2002-07-28,4.0,Fair,Automotive
2002-08-09,4.0,Fair,Automotive
2002-08-15,5.0,Excellent,Automotive
2002-08-22,5.0,Excellent,Automotive
2002-08-31,5.0,Excellent,Automotive
2002-09-18,4.0,Fair,Automotive
2002-09-30,4.0,Fair,Automotive
2002-10-06,5.0,Excellent,Automotive
2002-10-21,4.0,Fair,Automotive
2002-10-25,5.0,Excellent,Automotive
2002-10-31,5.0,Excellent,Automotive
2002-11-01,5.0,Excellent,Automotive
2002-11-13,3.333333333333333,Poor,Automotive
2002-11-19,4.0,Fair,Automotive
2002-11-20,5.0,Excellent,Automotive
2002-11-24,4.0,Fair,Automotive
2002-11-26,3.0,Poor,Automotive
2002-12-04,5.0,Excellent,Automotive
2002-12-10,1.0,Poor,Automotive
2002-12-12,5.0,Excellent,Automotive
2002-12-19,5.0,Excellent,Automotive
2002-12-21,5.0,Excellent,Automotive
2002-12-22,5.0,Excellent,Automotive
2002-12-26,1.0,Poor,Automotive
2002-12-28,5.0,Excellent,Automotive
2003-01-02,5.0,Excellent,Automotive
2003-01-03,4.0,Fair,Automotive
2003-01-04,5.0,Excellent,Automotive
2003-01-06,3.6666666666666665,Poor,Automotive
2003-01-07,4.0,Fair,Automotive
2003-01-09,4.0,Fair,Automotive
2003-01-11,5.0,Excellent,Automotive
2003-01-20,5.0,Excellent,Automotive
2003-01-28,5.0,Excellent,Automotive
2003-02-18,4.0,Fair,Automotive
2003-03-03,5.0,Excellent,Automotive
2003-03-27,3.5,Poor,Automotive
2003-03-30,5.0,Excellent,Automotive
2003-04-04,5.0,Excellent,Automotive
2003-04-07,1.0,Poor,Automotive
2003-04-08,4.0,Fair,Automotive
2003-04-18,4.0,Fair,Automotive
2003-04-27,5.0,Excellent,Automotive
2003-04-29,1.0,Poor,Automotive
2003-05-05,5.0,Excellent,Automotive
2003-05-09,5.0,Excellent,Automotive
2003-05-16,5.0,Excellent,Automotive
2003-05-19,5.0,Excellent,Automotive
2003-05-23,4.0,Fair,Automotive
2003-05-24,4.0,Fair,Automotive
2003-05-26,5.0,Excellent,Automotive
2003-05-28,1.0,Poor,Automotive
2003-06-02,5.0,Excellent,Automotive
2003-06-05,4.0,Fair,Automotive
2003-06-06,5.0,Excellent,Automotive
2003-06-08,5.0,Excellent,Automotive
2003-06-10,2.0,Poor,Automotive
2003-06-11,1.0,Poor,Automotive
2003-06-13,5.0,Excellent,Automotive
