Time,Rating,Sentiment,Product
1999-10,4.0,Average,Automotive
1999-12,3.0,Poor,Automotive
2000-02,1.0,Poor,Automotive
2000-04,1.0,Poor,Automotive
2000-05,4.666666666666667,Excellent,Automotive
2000-06,4.555555555555555,Excellent,Automotive
2000-07,2.5,Poor,Automotive
2000-08,5.0,Excellent,Automotive
2000-09,4.0,Average,Automotive
2000-10,5.0,Excellent,Automotive
2000-11,4.25,Good,Automotive
2000-12,3.0,Poor,Automotive
2001-01,2.0,Poor,Automotive
2001-02,4.5,Excellent,Automotive
2001-03,4.0,Average,Automotive
2001-04,3.8,Fair,Automotive
2001-05,5.0,Excellent,Automotive
2001-06,4.25,Good,Automotive
2001-07,3.0,Poor,Automotive
2001-08,3.333333333333333,Poor,Automotive
2001-09,4.0,Average,Automotive
2001-10,5.0,Excellent,Automotive
2001-11,4.333333333333333,Excellent,Automotive
2001-12,3.9,Fair,Automotive
2002-01,3.25,Poor,Automotive
2002-02,4.0,Average,Automotive
2002-03,3.0,Poor,Automotive
2002-04,5.0,Excellent,Automotive
2002-05,4.5,Excellent,Automotive
2002-06,3.75,Poor,Automotive
2002-07,4.333333333333333,Excellent,Automotive
2002-08,4.75,Excellent,Automotive
2002-09,4.0,Average,Automotive
2002-10,4.75,Excellent,Automotive
2002-11,3.875,Fair,Automotive
2002-12,4.2,Good,Automotive
2003-01,4.416666666666667,Excellent,Automotive
2003-02,4.0,Average,Automotive
2003-03,4.25,Good,Automotive
2003-04,3.333333333333333,Poor,Automotive
2003-05,4.222222222222222,Good,Automotive
2003-06,3.615384615384616,Poor,Automotive
2003-07,4.2,Good,Automotive
2003-08,2.333333333333333,Poor,Automotive
2003-09,4.8,Excellent,Automotive
2003-10,3.5,Poor,Automotive
2003-11,3.8181818181818175,Fair,Automotive
2003-12,3.3,Poor,Automotive
2004-01,2.9411764705882355,Poor,Automotive
2004-02,3.5454545454545454,Poor,Automotive
2004-03,3.736842105263158,Poor,Automotive
2004-04,3.8,Fair,Automotive
2004-05,3.55,Poor,Automotive
