Time,Rating,Sentiment,Product
1999,3.2,Poor,Automotive
2000,4.032258064516129,Average,Automotive
2001,3.9166666666666665,Fair,Automotive
2002,4.111111111111111,Good,Automotive
2003,3.86,Fair,Automotive
2004,3.854092526690392,Fair,Automotive
2005,3.693939393939394,Poor,Automotive
2006,3.752054794520548,Poor,Automotive
2007,4.000900292595094,Average,Automotive
2008,3.9724207638437656,Average,Automotive
2009,3.979867173468109,Average,Automotive
2010,4.005191294297412,Average,Automotive
2011,4.063601092110935,Good,Automotive
2012,4.143288448490202,Good,Automotive
2013,4.209058964675684,Excellent,Automotive
2014,4.26717259371536,Excellent,Automotive
2015,4.296954624480444,Excellent,Automotive
