Time,Rating,Sentiment,Product
1999-07-13,5.0,Excellent,Baby
1999-07-14,5.0,Excellent,Baby
1999-07-15,4.666666666666667,Excellent,Baby
1999-07-16,4.0,Average,Baby
1999-07-17,5.0,Excellent,Baby
1999-07-22,5.0,Excellent,Baby
1999-07-26,5.0,Excellent,Baby
1999-08-01,5.0,Excellent,Baby
1999-08-03,5.0,Excellent,Baby
1999-08-04,5.0,Excellent,Baby
1999-08-05,5.0,Excellent,Baby
1999-08-11,5.0,Excellent,Baby
1999-08-12,4.5,Excellent,Baby
1999-08-13,4.0,Average,Baby
1999-08-14,5.0,Excellent,Baby
1999-08-15,5.0,Excellent,Baby
1999-08-17,5.0,Excellent,Baby
1999-08-18,4.5,Excellent,Baby
1999-08-20,5.0,Excellent,Baby
1999-08-21,5.0,Excellent,Baby
1999-08-25,4.0,Average,Baby
1999-08-30,5.0,Excellent,Baby
1999-08-31,5.0,Excellent,Baby
1999-09-03,5.0,Excellent,Baby
1999-09-08,5.0,Excellent,Baby
1999-09-09,4.0,Average,Baby
1999-09-18,5.0,Excellent,Baby
1999-09-19,5.0,Excellent,Baby
1999-09-26,5.0,Excellent,Baby
1999-09-29,5.0,Excellent,Baby
1999-10-02,5.0,Excellent,Baby
1999-10-13,3.0,Poor,Baby
1999-10-16,5.0,Excellent,Baby
1999-10-24,3.0,Poor,Baby
1999-10-25,4.0,Average,Baby
1999-10-28,5.0,Excellent,Baby
1999-11-01,5.0,Excellent,Baby
1999-11-05,5.0,Excellent,Baby
1999-11-07,5.0,Excellent,Baby
1999-11-08,5.0,Excellent,Baby
1999-11-11,5.0,Excellent,Baby
1999-11-13,4.0,Average,Baby
1999-11-17,3.6666666666666665,Fair,Baby
1999-11-19,5.0,Excellent,Baby
1999-11-20,5.0,Excellent,Baby
1999-11-21,4.0,Average,Baby
1999-11-22,3.0,Poor,Baby
1999-11-23,5.0,Excellent,Baby
1999-11-24,2.0,Poor,Baby
1999-11-25,5.0,Excellent,Baby
1999-11-28,3.0,Poor,Baby
1999-11-29,5.0,Excellent,Baby
1999-11-30,4.0,Average,Baby
1999-12-02,3.0,Poor,Baby
1999-12-03,5.0,Excellent,Baby
1999-12-04,5.0,Excellent,Baby
1999-12-06,5.0,Excellent,Baby
1999-12-07,1.0,Poor,Baby
1999-12-08,5.0,Excellent,Baby
1999-12-10,5.0,Excellent,Baby
1999-12-11,5.0,Excellent,Baby
1999-12-13,5.0,Excellent,Baby
1999-12-14,5.0,Excellent,Baby
1999-12-15,4.0,Average,Baby
1999-12-20,5.0,Excellent,Baby
1999-12-22,4.5,Excellent,Baby
1999-12-25,5.0,Excellent,Baby
1999-12-26,5.0,Excellent,Baby
1999-12-27,4.833333333333333,Excellent,Baby
1999-12-28,5.0,Excellent,Baby
1999-12-29,4.0,Average,Baby
1999-12-30,5.0,Excellent,Baby
1999-12-31,4.75,Excellent,Baby
2000-01-04,5.0,Excellent,Baby
2000-01-08,5.0,Excellent,Baby
2000-01-09,3.5,Poor,Baby
2000-01-12,5.0,Excellent,Baby
2000-01-18,1.0,Poor,Baby
2000-01-20,3.0,Poor,Baby
2000-01-21,5.0,Excellent,Baby
2000-01-25,5.0,Excellent,Baby
2000-01-26,5.0,Excellent,Baby
2000-01-28,5.0,Excellent,Baby
2000-01-31,5.0,Excellent,Baby
2000-02-02,3.0,Poor,Baby
2000-02-07,1.0,Poor,Baby
2000-02-12,4.0,Average,Baby
2000-02-16,4.8,Excellent,Baby
2000-02-23,4.0,Average,Baby
2000-02-26,1.0,Poor,Baby
2000-03-05,5.0,Excellent,Baby
2000-03-11,5.0,Excellent,Baby
2000-03-12,5.0,Excellent,Baby
2000-03-13,5.0,Excellent,Baby
2000-03-14,5.0,Excellent,Baby
2000-03-15,5.0,Excellent,Baby
2000-03-18,5.0,Excellent,Baby
2000-03-20,2.0,Poor,Baby
2000-03-21,3.0,Poor,Baby
2000-03-26,5.0,Excellent,Baby
2000-03-30,5.0,Excellent,Baby
2000-04-01,4.5,Excellent,Baby
2000-04-07,5.0,Excellent,Baby
2000-04-12,5.0,Excellent,Baby
2000-04-13,4.666666666666667,Excellent,Baby
2000-04-16,5.0,Excellent,Baby
2000-04-17,5.0,Excellent,Baby
2000-04-18,5.0,Excellent,Baby
2000-04-19,4.5,Excellent,Baby
2000-04-20,4.0,Average,Baby
2000-04-25,4.0,Average,Baby
2000-04-26,5.0,Excellent,Baby
2000-04-27,5.0,Excellent,Baby
2000-04-30,5.0,Excellent,Baby
2000-05-02,3.0,Poor,Baby
2000-05-07,3.0,Poor,Baby
2000-05-08,5.0,Excellent,Baby
2000-05-09,3.0,Poor,Baby
2000-05-16,5.0,Excellent,Baby
2000-05-20,4.0,Average,Baby
2000-05-24,4.0,Average,Baby
2000-05-31,5.0,Excellent,Baby
2000-06-12,5.0,Excellent,Baby
2000-06-17,5.0,Excellent,Baby
2000-06-20,3.0,Poor,Baby
2000-06-22,4.333333333333333,Good,Baby
2000-06-27,5.0,Excellent,Baby
2000-06-29,4.0,Average,Baby
2000-07-01,5.0,Excellent,Baby
2000-07-06,3.5,Poor,Baby
2000-07-11,5.0,Excellent,Baby
2000-07-14,5.0,Excellent,Baby
2000-07-18,4.333333333333333,Good,Baby
2000-07-19,5.0,Excellent,Baby
2000-07-20,1.0,Poor,Baby
2000-07-22,5.0,Excellent,Baby
2000-07-23,5.0,Excellent,Baby
2000-08-01,5.0,Excellent,Baby
2000-08-04,5.0,Excellent,Baby
2000-08-09,5.0,Excellent,Baby
2000-08-11,4.0,Average,Baby
2000-08-14,5.0,Excellent,Baby
2000-08-15,5.0,Excellent,Baby
2000-08-16,3.5,Poor,Baby
2000-08-19,4.0,Average,Baby
