Time,Rating,Sentiment,Product
1999-07,4.866666666666666,Excellent,Baby
1999-08,4.714285714285714,Excellent,Baby
1999-09,4.75,Excellent,Baby
1999-10,4.0,Average,Baby
1999-11,4.130434782608695,Good,Baby
1999-12,4.657894736842105,Excellent,Baby
2000-01,4.357142857142857,Excellent,Baby
2000-02,3.636363636363636,Poor,Baby
2000-03,4.5,Excellent,Baby
2000-04,4.7368421052631575,Excellent,Baby
2000-05,3.888888888888889,Fair,Baby
2000-06,4.375,Excellent,Baby
2000-07,4.25,Good,Baby
2000-08,4.5,Excellent,Baby
2000-09,4.44,Excellent,Baby
2000-10,4.419354838709677,Excellent,Baby
2000-11,4.487179487179487,Excellent,Baby
2000-12,4.228571428571429,Good,Baby
2001-01,4.15,Good,Baby
2001-02,4.0,Average,Baby
2001-03,3.4761904761904763,Poor,Baby
2001-04,4.769230769230769,Excellent,Baby
2001-05,4.379310344827586,Excellent,Baby
2001-06,3.983402489626556,Average,Baby
2001-07,3.918103448275862,Fair,Baby
2001-08,3.744274809160305,Poor,Baby
2001-09,3.939086294416244,Fair,Baby
2001-10,3.657370517928287,Poor,Baby
2001-11,3.833948339483394,Fair,Baby
2001-12,3.828358208955224,Fair,Baby
2002-01,3.688405797101449,Poor,Baby
2002-02,3.5839243498817965,Poor,Baby
2002-03,3.467248908296943,Poor,Baby
2002-04,3.8017429193899774,Fair,Baby
2002-05,3.683908045977012,Poor,Baby
2002-06,3.6482504604051567,Poor,Baby
2002-07,3.761627906976744,Poor,Baby
2002-08,3.661068702290077,Poor,Baby
2002-09,3.763636363636364,Poor,Baby
2002-10,3.626112759643917,Poor,Baby
2002-11,3.8026124818577647,Fair,Baby
2002-12,3.7138314785373607,Poor,Baby
2003-01,3.639905548996458,Poor,Baby
2003-02,3.777376654632972,Poor,Baby
2003-03,3.719125683060109,Poor,Baby
2003-04,3.699186991869919,Poor,Baby
2003-05,3.792035398230088,Fair,Baby
2003-06,3.760429082240763,Poor,Baby
2003-07,3.845580404685836,Fair,Baby
2003-08,3.7104166666666663,Poor,Baby
2003-09,3.685561497326203,Poor,Baby
2003-10,3.667621776504298,Poor,Baby
2003-11,3.70040899795501,Poor,Baby
2003-12,3.723880597014925,Poor,Baby
2004-01,3.743682310469314,Poor,Baby
2004-02,3.768569194683346,Poor,Baby
2004-03,3.716407355021216,Poor,Baby
2004-04,3.77246790299572,Poor,Baby
2004-05,3.658712942877802,Poor,Baby
2004-06,3.788567916410571,Fair,Baby
2004-07,3.7183544303797462,Poor,Baby
2004-08,3.708192281651997,Poor,Baby
2004-09,3.7407142857142857,Poor,Baby
2004-10,3.7017841971113,Poor,Baby
2004-11,3.714782608695652,Poor,Baby
2004-12,3.6841603053435112,Poor,Baby
2005-01,3.682959048877146,Poor,Baby
2005-02,3.745294855708909,Poor,Baby
