Time,Rating,Sentiment,Product
1999,4.553571428571429,Excellent,Baby
2000,4.369098712446352,Excellent,Baby
2001,3.902136115250869,Fair,Baby
2002,3.690338807515905,Poor,Baby
2003,3.726006470165349,Poor,Baby
2004,3.728219580933709,Poor,Baby
2005,3.818865591674824,Fair,Baby
2006,3.87888153053716,Fair,Baby
2007,4.050194010546214,Average,Baby
2008,4.101088253371416,Good,Baby
2009,4.057668312266045,Average,Baby
2010,4.024324278351393,Average,Baby
2011,4.0176901354520655,Average,Baby
2012,4.071612443667087,Average,Baby
2013,4.192106562992941,Good,Baby
2014,4.20438074646335,Good,Baby
2015,4.244122731287546,Good,Baby
