Time,Rating,Sentiment,Product
2000,4.0,Fair,Beauty
2001,3.778210116731517,Poor,Beauty
2002,3.679012345679012,Poor,Beauty
2003,3.7547923322683703,Poor,Beauty
2004,4.066870144284128,Average,Beauty
2005,4.044112054759792,Fair,Beauty
2006,4.054559558696776,Fair,Beauty
2007,4.1537246366636245,Good,Beauty
2008,4.149315868301475,Good,Beauty
2009,4.119377434625395,Good,Beauty
2010,4.071426323243981,Average,Beauty
2011,4.054887596620429,Average,Beauty
2012,4.087028192972508,Average,Beauty
2013,4.157338167124637,Good,Beauty
2014,4.197596397151027,Excellent,Beauty
2015,4.236968545108583,Excellent,Beauty
