Time,Rating,Sentiment,Product
1995-06-24,4.5,Excellent,Books
1995-07-07,4.0,Poor,Books
1995-07-18,5.0,Excellent,Books
1995-07-19,4.5,Excellent,Books
1995-07-22,4.75,Excellent,Books
1995-07-23,4.666666666666667,Excellent,Books
1995-07-24,4.6,Excellent,Books
1995-07-25,4.666666666666667,Excellent,Books
1995-07-26,5.0,Excellent,Books
1995-08-03,5.0,Excellent,Books
1995-08-04,5.0,Excellent,Books
1995-08-07,5.0,Excellent,Books
1995-08-08,5.0,Excellent,Books
1995-08-09,4.666666666666667,Excellent,Books
1995-08-12,5.0,Excellent,Books
1995-08-13,4.5,Excellent,Books
1995-08-15,5.0,Excellent,Books
1995-08-17,4.0,Poor,Books
1995-08-18,5.0,Excellent,Books
1995-08-25,5.0,Excellent,Books
1995-08-29,5.0,Excellent,Books
1995-08-30,5.0,Excellent,Books
1995-08-31,5.0,Excellent,Books
1995-09-01,5.0,Excellent,Books
1995-09-03,5.0,Excellent,Books
1995-09-04,5.0,Excellent,Books
1995-09-07,5.0,Excellent,Books
1995-09-09,5.0,Excellent,Books
1995-09-11,5.0,Excellent,Books
1995-09-12,4.75,Excellent,Books
1995-09-14,4.0,Poor,Books
1995-09-21,5.0,Excellent,Books
1995-09-22,5.0,Excellent,Books
1995-09-25,4.5,Excellent,Books
1995-09-27,5.0,Excellent,Books
1995-09-29,5.0,Excellent,Books
1995-09-30,4.666666666666667,Excellent,Books
1995-10-03,5.0,Excellent,Books
1995-10-05,5.0,Excellent,Books
1995-10-06,5.0,Excellent,Books
1995-10-10,5.0,Excellent,Books
1995-10-11,5.0,Excellent,Books
1995-10-12,5.0,Excellent,Books
1995-10-14,4.5,Excellent,Books
1995-10-15,3.0,Poor,Books
1995-10-16,5.0,Excellent,Books
1995-10-17,5.0,Excellent,Books
1995-10-18,2.6666666666666665,Poor,Books
1995-10-19,5.0,Excellent,Books
1995-10-20,5.0,Excellent,Books
1995-10-21,5.0,Excellent,Books
1995-10-22,4.25,Average,Books
1995-10-23,4.666666666666667,Excellent,Books
1995-10-24,4.75,Excellent,Books
1995-10-25,5.0,Excellent,Books
1995-10-26,5.0,Excellent,Books
1995-10-27,1.0,Poor,Books
1995-10-28,5.0,Excellent,Books
1995-10-29,5.0,Excellent,Books
1995-10-30,5.0,Excellent,Books
1995-10-31,4.5,Excellent,Books
1995-11-02,4.75,Excellent,Books
1995-11-03,4.5,Excellent,Books
1995-11-04,4.0,Poor,Books
1995-11-07,5.0,Excellent,Books
1995-11-08,5.0,Excellent,Books
1995-11-09,5.0,Excellent,Books
1995-11-11,5.0,Excellent,Books
1995-11-12,5.0,Excellent,Books
1995-11-13,3.5,Poor,Books
1995-11-15,5.0,Excellent,Books
1995-11-16,5.0,Excellent,Books
1995-11-18,5.0,Excellent,Books
1995-11-19,4.5,Excellent,Books
1995-11-20,4.0,Poor,Books
1995-11-21,5.0,Excellent,Books
1995-11-22,3.6666666666666665,Poor,Books
1995-11-24,5.0,Excellent,Books
1995-11-25,5.0,Excellent,Books
1995-11-26,4.5,Excellent,Books
1995-11-27,4.666666666666667,Excellent,Books
1995-11-28,3.5,Poor,Books
1995-11-29,5.0,Excellent,Books
1995-11-30,5.0,Excellent,Books
1995-12-01,5.0,Excellent,Books
1995-12-03,4.5,Excellent,Books
1995-12-06,5.0,Excellent,Books
1995-12-08,5.0,Excellent,Books
1995-12-09,5.0,Excellent,Books
1995-12-10,3.8,Poor,Books
1995-12-11,5.0,Excellent,Books
1995-12-13,5.0,Excellent,Books
1995-12-14,4.6,Excellent,Books
1995-12-18,4.0,Poor,Books
1995-12-19,5.0,Excellent,Books
1995-12-21,3.0,Poor,Books
