Time,Rating,Sentiment,Product
1995-06,4.5,Excellent,Books
1995-07,4.652173913043479,Excellent,Books
1995-08,4.842105263157895,Excellent,Books
1995-09,4.851851851851852,Excellent,Books
1995-10,4.488888888888889,Excellent,Books
1995-11,4.5227272727272725,Excellent,Books
1995-12,4.552631578947368,Excellent,Books
1996-01,4.304347826086956,Good,Books
1996-02,4.354838709677419,Good,Books
1996-05,4.694524495677234,Excellent,Books
1996-06,4.619815668202765,Excellent,Books
1996-07,4.640963855421687,Excellent,Books
1996-08,4.626865671641791,Excellent,Books
1996-09,4.546232876712328,Excellent,Books
1996-10,4.628252788104089,Excellent,Books
1996-11,4.506079027355623,Excellent,Books
1996-12,4.640888888888889,Excellent,Books
1997-01,4.555060471037556,Excellent,Books
1997-02,4.507610853739245,Excellent,Books
1997-03,4.538162372386972,Excellent,Books
1997-04,4.450851393188855,Excellent,Books
1997-05,4.427968655816757,Excellent,Books
1997-06,4.437270501835985,Excellent,Books
1997-07,4.424763542562339,Excellent,Books
1997-08,4.367252810608244,Good,Books
1997-09,4.350398179749716,Good,Books
1997-10,4.435880967672875,Excellent,Books
1997-11,4.415725359911407,Excellent,Books
1997-12,4.433095192122031,Excellent,Books
1998-01,4.373675570810327,Excellent,Books
1998-02,4.360991800078095,Good,Books
1998-03,4.401310510831773,Excellent,Books
1998-04,4.3735,Excellent,Books
1998-05,4.355539971949509,Good,Books
1998-06,4.28074487191606,Good,Books
1998-07,4.26901031715705,Good,Books
1998-08,4.222802809662498,Average,Books
1998-09,4.282834214131924,Good,Books
1998-10,4.255337252475248,Average,Books
1998-11,4.300937639529692,Good,Books
1998-12,4.317423092840392,Good,Books
1999-01,4.235361034606634,Average,Books
1999-02,4.207530537715653,Average,Books
1999-03,4.234286382505993,Average,Books
1999-04,4.250208136759727,Average,Books
1999-05,4.247401484865791,Average,Books
1999-06,4.1842476094615,Average,Books
1999-07,4.186017163048965,Average,Books
1999-08,4.160950956629364,Fair,Books
1999-09,4.2075428701646445,Average,Books
1999-10,4.191729905528884,Average,Books
1999-11,4.233461317798668,Average,Books
1999-12,4.21621488781303,Average,Books
2000-01,4.208957187013613,Average,Books
2000-02,4.225910723447922,Average,Books
2000-03,4.257329545454546,Good,Books
2000-04,4.26342634789315,Good,Books
2000-05,4.251880736476172,Average,Books
2000-06,4.263044143868306,Good,Books
2000-07,4.261310841259396,Good,Books
2000-08,4.225877986965966,Average,Books
2000-09,4.219607953111416,Average,Books
2000-10,4.221652436484798,Average,Books
2000-11,4.241037988229,Average,Books
2000-12,4.185998647496398,Average,Books
2001-01,4.199963675989829,Average,Books
2001-02,4.225902995804113,Average,Books
2001-03,4.226646920081181,Average,Books
2001-04,4.198706400070882,Average,Books
2001-05,4.199405310107097,Average,Books
2001-06,4.197491921834128,Average,Books
2001-07,4.197862888702125,Average,Books
2001-08,4.186894709221888,Average,Books
2001-09,4.181771633384536,Average,Books
2001-10,4.207842006631108,Average,Books
2001-11,4.196502409860676,Average,Books
2001-12,4.178496172414713,Fair,Books
2002-01,4.1739057360320775,Fair,Books
2002-02,4.177750837085787,Fair,Books
2002-03,4.171377953781622,Fair,Books
2002-04,4.192426564163831,Average,Books
2002-05,4.17882432280544,Fair,Books
2002-06,4.166574653416759,Fair,Books
2002-07,4.156586624775583,Fair,Books
2002-08,4.147865250601017,Fair,Books
2002-09,4.137278182459968,Fair,Books
2002-10,4.180257392454598,Average,Books
2002-11,4.167207164321204,Fair,Books
2002-12,4.139872008903729,Fair,Books
2003-01,4.098252427184466,Fair,Books
2003-02,4.139324718141944,Fair,Books
2003-03,4.161128837055782,Fair,Books
2003-04,4.173514296260541,Fair,Books
2003-05,4.166737910005415,Fair,Books
2003-06,4.173183042602715,Fair,Books
2003-07,4.128571428571429,Fair,Books
2003-08,4.137587805363593,Fair,Books
2003-09,4.095857755840368,Fair,Books
2003-10,4.105215454733789,Fair,Books
2003-11,4.127391025104019,Fair,Books
2003-12,4.105296639468953,Fair,Books
2004-01,4.090693179966005,Fair,Books
2004-02,4.093437816238096,Fair,Books
2004-03,4.133095735529065,Fair,Books
2004-04,4.117911954243122,Fair,Books
2004-05,4.102345528670514,Fair,Books
2004-06,4.100613621380394,Fair,Books
2004-07,4.096581959466555,Fair,Books
2004-08,4.087005818290318,Fair,Books
2004-09,4.116242285147163,Fair,Books
2004-10,4.16130773845231,Fair,Books
2004-11,4.178704228902754,Fair,Books
2004-12,4.141266943954038,Fair,Books
2005-01,4.119134025779001,Fair,Books
2005-02,4.124158653846154,Fair,Books
2005-03,4.120626822157434,Fair,Books
2005-04,4.1316646149637535,Fair,Books
2005-05,4.130614366212594,Fair,Books
2005-06,4.117431142021306,Fair,Books
2005-07,4.1288498213463685,Fair,Books
2005-08,4.186160943106099,Average,Books
2005-09,4.202819188446855,Average,Books
2005-10,4.202633889376647,Average,Books
