Time,Rating,Sentiment,Product
1998,5.0,Excellent,Camera
1999,4.342105263157895,Excellent,Camera
2000,4.179353152564522,Good,Camera
2001,4.076297577854671,Average,Camera
2002,3.97416918429003,Fair,Camera
2003,3.9309686221009543,Fair,Camera
2004,3.808695652173913,Fair,Camera
2005,3.859865354738477,Fair,Camera
2006,3.9547590701171753,Fair,Camera
2007,4.127295202286833,Average,Camera
2008,4.091891230788047,Average,Camera
2009,4.027877149310077,Average,Camera
2010,3.991254956335596,Average,Camera
2011,3.9852640025409776,Fair,Camera
2012,4.037126986499278,Average,Camera
2013,4.143269743024919,Good,Camera
2014,4.187105275603076,Good,Camera
2015,4.189228885041806,Good,Camera
