Time,Rating,Sentiment,Product
1999-08-28,5.0,Excellent,Digital_Ebook_Purchase
1999-10-21,5.0,Excellent,Digital_Ebook_Purchase
2000-02-26,5.0,Excellent,Digital_Ebook_Purchase
2000-05-25,1.0,Poor,Digital_Ebook_Purchase
2000-06-16,3.0,Poor,Digital_Ebook_Purchase
2000-06-19,5.0,Excellent,Digital_Ebook_Purchase
2000-08-27,5.0,Excellent,Digital_Ebook_Purchase
2000-09-18,5.0,Excellent,Digital_Ebook_Purchase
2001-03-07,5.0,Excellent,Digital_Ebook_Purchase
2001-04-03,5.0,Excellent,Digital_Ebook_Purchase
2001-06-14,5.0,Excellent,Digital_Ebook_Purchase
2001-07-24,5.0,Excellent,Digital_Ebook_Purchase
2001-07-25,3.0,Poor,Digital_Ebook_Purchase
2001-09-19,5.0,Excellent,Digital_Ebook_Purchase
2001-10-08,5.0,Excellent,Digital_Ebook_Purchase
2001-11-28,4.0,Average,Digital_Ebook_Purchase
2002-02-28,5.0,Excellent,Digital_Ebook_Purchase
2002-04-29,5.0,Excellent,Digital_Ebook_Purchase
2002-05-21,1.0,Poor,Digital_Ebook_Purchase
2003-02-28,5.0,Excellent,Digital_Ebook_Purchase
2003-07-28,5.0,Excellent,Digital_Ebook_Purchase
2004-01-20,3.0,Poor,Digital_Ebook_Purchase
2004-02-08,5.0,Excellent,Digital_Ebook_Purchase
2004-02-11,5.0,Excellent,Digital_Ebook_Purchase
2004-02-17,4.0,Average,Digital_Ebook_Purchase
2004-04-23,5.0,Excellent,Digital_Ebook_Purchase
2004-04-26,5.0,Excellent,Digital_Ebook_Purchase
2004-06-20,4.0,Average,Digital_Ebook_Purchase
2004-08-01,5.0,Excellent,Digital_Ebook_Purchase
2004-08-16,5.0,Excellent,Digital_Ebook_Purchase
2004-08-18,4.0,Average,Digital_Ebook_Purchase
2004-08-27,4.0,Average,Digital_Ebook_Purchase
2004-11-24,5.0,Excellent,Digital_Ebook_Purchase
2004-12-31,5.0,Excellent,Digital_Ebook_Purchase
2005-01-23,5.0,Excellent,Digital_Ebook_Purchase
2005-03-10,5.0,Excellent,Digital_Ebook_Purchase
2005-03-15,4.0,Average,Digital_Ebook_Purchase
2005-04-04,5.0,Excellent,Digital_Ebook_Purchase
2005-05-30,1.0,Poor,Digital_Ebook_Purchase
2005-07-25,1.0,Poor,Digital_Ebook_Purchase
2005-07-30,2.5,Poor,Digital_Ebook_Purchase
2005-08-15,2.0,Poor,Digital_Ebook_Purchase
2005-08-19,5.0,Excellent,Digital_Ebook_Purchase
2005-08-29,1.0,Poor,Digital_Ebook_Purchase
2005-09-17,4.0,Average,Digital_Ebook_Purchase
2005-09-25,4.0,Average,Digital_Ebook_Purchase
2005-10-19,2.0,Poor,Digital_Ebook_Purchase
2005-10-25,5.0,Excellent,Digital_Ebook_Purchase
2005-10-27,4.0,Average,Digital_Ebook_Purchase
2005-10-28,5.0,Excellent,Digital_Ebook_Purchase
2005-11-20,5.0,Excellent,Digital_Ebook_Purchase
2005-12-28,5.0,Excellent,Digital_Ebook_Purchase
2006-01-02,5.0,Excellent,Digital_Ebook_Purchase
2006-01-11,1.0,Poor,Digital_Ebook_Purchase
2006-01-13,1.0,Poor,Digital_Ebook_Purchase
2006-01-16,4.5,Excellent,Digital_Ebook_Purchase
2006-01-25,5.0,Excellent,Digital_Ebook_Purchase
2006-01-28,3.0,Poor,Digital_Ebook_Purchase
2006-02-02,5.0,Excellent,Digital_Ebook_Purchase
2006-02-09,3.0,Poor,Digital_Ebook_Purchase
2006-02-21,5.0,Excellent,Digital_Ebook_Purchase
2006-02-26,5.0,Excellent,Digital_Ebook_Purchase
2006-05-11,5.0,Excellent,Digital_Ebook_Purchase
2006-06-05,1.0,Poor,Digital_Ebook_Purchase
2006-06-21,5.0,Excellent,Digital_Ebook_Purchase
2006-06-23,5.0,Excellent,Digital_Ebook_Purchase
2006-06-30,5.0,Excellent,Digital_Ebook_Purchase
2006-07-29,4.0,Average,Digital_Ebook_Purchase
2006-08-02,5.0,Excellent,Digital_Ebook_Purchase
2006-08-03,5.0,Excellent,Digital_Ebook_Purchase
2006-08-04,5.0,Excellent,Digital_Ebook_Purchase
2006-08-08,2.0,Poor,Digital_Ebook_Purchase
2006-08-16,5.0,Excellent,Digital_Ebook_Purchase
2006-08-21,4.0,Average,Digital_Ebook_Purchase
2006-08-22,5.0,Excellent,Digital_Ebook_Purchase
2006-08-26,5.0,Excellent,Digital_Ebook_Purchase
2006-08-28,4.0,Average,Digital_Ebook_Purchase
2006-09-22,5.0,Excellent,Digital_Ebook_Purchase
2006-09-29,3.0,Poor,Digital_Ebook_Purchase
2006-11-04,5.0,Excellent,Digital_Ebook_Purchase
2006-11-10,5.0,Excellent,Digital_Ebook_Purchase
2006-11-17,1.0,Poor,Digital_Ebook_Purchase
2006-11-25,5.0,Excellent,Digital_Ebook_Purchase
2006-12-17,1.0,Poor,Digital_Ebook_Purchase
2007-01-02,5.0,Excellent,Digital_Ebook_Purchase
2007-01-07,5.0,Excellent,Digital_Ebook_Purchase
2007-01-12,4.0,Average,Digital_Ebook_Purchase
2007-01-14,4.0,Average,Digital_Ebook_Purchase
2007-01-15,5.0,Excellent,Digital_Ebook_Purchase
2007-01-30,1.0,Poor,Digital_Ebook_Purchase
2007-02-05,5.0,Excellent,Digital_Ebook_Purchase
2007-02-13,1.0,Poor,Digital_Ebook_Purchase
2007-02-26,5.0,Excellent,Digital_Ebook_Purchase
2007-03-12,3.0,Poor,Digital_Ebook_Purchase
2007-03-16,5.0,Excellent,Digital_Ebook_Purchase
2007-03-19,5.0,Excellent,Digital_Ebook_Purchase
2007-04-01,5.0,Excellent,Digital_Ebook_Purchase
2007-04-02,3.0,Poor,Digital_Ebook_Purchase
2007-04-07,5.0,Excellent,Digital_Ebook_Purchase
2007-05-09,5.0,Excellent,Digital_Ebook_Purchase
2007-05-12,5.0,Excellent,Digital_Ebook_Purchase
2007-05-22,5.0,Excellent,Digital_Ebook_Purchase
2007-06-03,5.0,Excellent,Digital_Ebook_Purchase
2007-06-04,5.0,Excellent,Digital_Ebook_Purchase
2007-06-05,5.0,Excellent,Digital_Ebook_Purchase
2007-06-12,5.0,Excellent,Digital_Ebook_Purchase
2007-06-21,1.0,Poor,Digital_Ebook_Purchase
2007-07-16,5.0,Excellent,Digital_Ebook_Purchase
2007-07-20,5.0,Excellent,Digital_Ebook_Purchase
2007-07-27,5.0,Excellent,Digital_Ebook_Purchase
2007-07-30,5.0,Excellent,Digital_Ebook_Purchase
2007-08-02,4.0,Average,Digital_Ebook_Purchase
2007-08-04,1.0,Poor,Digital_Ebook_Purchase
