Time,Rating,Sentiment,Product
1999,5.0,Excellent,Digital_Ebook_Purchase
2000,4.0,Average,Digital_Ebook_Purchase
2001,4.625,Good,Digital_Ebook_Purchase
2002,3.6666666666666665,Fair,Digital_Ebook_Purchase
2003,5.0,Excellent,Digital_Ebook_Purchase
2004,4.538461538461538,Good,Digital_Ebook_Purchase
2005,3.5789473684210527,Fair,Digital_Ebook_Purchase
2006,4.0,Average,Digital_Ebook_Purchase
2007,3.9447731755424074,Fair,Digital_Ebook_Purchase
2008,3.945872801082544,Average,Digital_Ebook_Purchase
2009,3.7769883623738183,Fair,Digital_Ebook_Purchase
2010,3.821640519419472,Fair,Digital_Ebook_Purchase
2011,4.0554089633756405,Average,Digital_Ebook_Purchase
2012,4.215064964090653,Average,Digital_Ebook_Purchase
2013,4.29351196878333,Good,Digital_Ebook_Purchase
