Time,Rating,Sentiment,Product
2008-01-26,1.0,Poor,Digital_Software
2008-02-05,2.5,Poor,Digital_Software
2008-02-08,4.0,Good,Digital_Software
2008-02-11,2.0,Poor,Digital_Software
2008-02-13,3.0,Fair,Digital_Software
2008-02-14,5.0,Excellent,Digital_Software
2008-02-15,1.0,Poor,Digital_Software
2008-02-17,5.0,Excellent,Digital_Software
2008-02-23,1.0,Poor,Digital_Software
2008-03-01,3.0,Fair,Digital_Software
2008-03-02,5.0,Excellent,Digital_Software
2008-03-09,3.0,Fair,Digital_Software
2008-03-12,4.0,Good,Digital_Software
2008-03-15,1.0,Poor,Digital_Software
2008-03-17,1.0,Poor,Digital_Software
2008-03-23,1.0,Poor,Digital_Software
2008-03-26,2.0,Poor,Digital_Software
2008-03-30,5.0,Excellent,Digital_Software
2008-04-06,1.0,Poor,Digital_Software
2008-04-12,3.0,Fair,Digital_Software
2008-04-14,4.0,Good,Digital_Software
2008-09-09,5.0,Excellent,Digital_Software
2008-12-07,1.0,Poor,Digital_Software
2008-12-16,1.0,Poor,Digital_Software
2008-12-27,3.0,Fair,Digital_Software
2009-01-05,1.0,Poor,Digital_Software
2009-01-09,1.0,Poor,Digital_Software
2009-01-10,4.0,Good,Digital_Software
2009-01-11,5.0,Excellent,Digital_Software
2009-01-12,1.0,Poor,Digital_Software
2009-01-14,5.0,Excellent,Digital_Software
2009-01-15,1.5,Poor,Digital_Software
2009-01-16,5.0,Excellent,Digital_Software
2009-01-17,1.0,Poor,Digital_Software
2009-01-18,1.0,Poor,Digital_Software
2009-01-21,1.0,Poor,Digital_Software
2009-01-23,1.0,Poor,Digital_Software
2009-01-25,3.5,Average,Digital_Software
2009-01-26,5.0,Excellent,Digital_Software
2009-01-27,1.0,Poor,Digital_Software
2009-01-28,3.0,Fair,Digital_Software
2009-01-30,4.333333333333333,Excellent,Digital_Software
2009-01-31,3.0,Fair,Digital_Software
2009-02-01,2.625,Poor,Digital_Software
2009-02-02,1.25,Poor,Digital_Software
2009-02-03,2.4285714285714284,Poor,Digital_Software
2009-02-05,1.0,Poor,Digital_Software
2009-02-07,3.0,Fair,Digital_Software
2009-02-08,4.5,Excellent,Digital_Software
2009-02-09,2.333333333333333,Poor,Digital_Software
2009-02-11,1.75,Poor,Digital_Software
2009-02-14,1.0,Poor,Digital_Software
2009-02-15,1.0,Poor,Digital_Software
2009-02-17,4.666666666666667,Excellent,Digital_Software
2009-02-18,1.6666666666666667,Poor,Digital_Software
2009-02-19,2.0,Poor,Digital_Software
2009-02-20,1.0,Poor,Digital_Software
2009-02-21,1.0,Poor,Digital_Software
2009-02-22,4.5,Excellent,Digital_Software
2009-02-23,1.0,Poor,Digital_Software
2009-02-25,3.0,Fair,Digital_Software
2009-02-26,5.0,Excellent,Digital_Software
2009-02-27,1.0,Poor,Digital_Software
2009-03-01,4.0,Good,Digital_Software
2009-03-03,3.0,Fair,Digital_Software
2009-03-04,1.0,Poor,Digital_Software
2009-03-06,1.0,Poor,Digital_Software
2009-03-08,3.0,Fair,Digital_Software
2009-03-11,1.0,Poor,Digital_Software
2009-03-12,1.0,Poor,Digital_Software
2009-03-14,5.0,Excellent,Digital_Software
2009-03-16,1.0,Poor,Digital_Software
2009-03-19,1.0,Poor,Digital_Software
2009-03-20,2.0,Poor,Digital_Software
2009-03-22,3.0,Fair,Digital_Software
2009-03-23,3.333333333333333,Average,Digital_Software
2009-03-24,5.0,Excellent,Digital_Software
2009-03-28,4.0,Good,Digital_Software
2009-03-29,3.5,Average,Digital_Software
2009-03-30,2.6666666666666665,Fair,Digital_Software
2009-03-31,4.0,Good,Digital_Software
2009-04-01,3.5,Average,Digital_Software
2009-04-04,1.0,Poor,Digital_Software
2009-04-05,2.0,Poor,Digital_Software
2009-04-06,2.8,Fair,Digital_Software
2009-04-07,4.2,Good,Digital_Software
2009-04-08,1.0,Poor,Digital_Software
2009-04-09,1.0,Poor,Digital_Software
2009-04-10,5.0,Excellent,Digital_Software
