Time,Rating,Sentiment,Product
1999-06-09,1.0,Poor,Electronics
1999-06-12,5.0,Excellent,Electronics
1999-06-13,5.0,Excellent,Electronics
1999-06-14,4.5,Excellent,Electronics
1999-06-17,3.0,Poor,Electronics
1999-06-18,5.0,Excellent,Electronics
1999-06-19,1.0,Poor,Electronics
1999-06-22,3.0,Poor,Electronics
1999-06-24,5.0,Excellent,Electronics
1999-06-26,2.25,Poor,Electronics
1999-06-28,1.0,Poor,Electronics
1999-06-29,5.0,Excellent,Electronics
1999-06-30,5.0,Excellent,Electronics
1999-07-01,1.0,Poor,Electronics
1999-07-02,3.0,Poor,Electronics
1999-07-06,3.5,Fair,Electronics
1999-07-07,4.5,Excellent,Electronics
1999-07-08,5.0,Excellent,Electronics
1999-07-09,1.0,Poor,Electronics
1999-07-12,2.0,Poor,Electronics
1999-07-13,3.388888888888889,Poor,Electronics
1999-07-14,3.5,Fair,Electronics
1999-07-15,4.0,Good,Electronics
1999-07-16,3.857142857142857,Average,Electronics
1999-07-17,4.8,Excellent,Electronics
1999-07-18,4.5,Excellent,Electronics
1999-07-19,4.0,Good,Electronics
1999-07-20,4.5,Excellent,Electronics
1999-07-21,4.333333333333333,Excellent,Electronics
1999-07-22,2.5,Poor,Electronics
1999-07-23,2.5,Poor,Electronics
1999-07-24,2.0,Poor,Electronics
1999-07-25,5.0,Excellent,Electronics
1999-07-26,4.5,Excellent,Electronics
1999-07-27,4.5,Excellent,Electronics
1999-07-28,4.0,Good,Electronics
1999-07-29,5.0,Excellent,Electronics
1999-07-30,1.0,Poor,Electronics
1999-07-31,3.0,Poor,Electronics
1999-08-01,3.0,Poor,Electronics
1999-08-03,5.0,Excellent,Electronics
1999-08-05,5.0,Excellent,Electronics
1999-08-06,4.0,Good,Electronics
1999-08-08,3.0,Poor,Electronics
1999-08-09,5.0,Excellent,Electronics
1999-08-10,3.4,Poor,Electronics
1999-08-11,4.0,Good,Electronics
1999-08-12,4.666666666666667,Excellent,Electronics
1999-08-14,1.0,Poor,Electronics
1999-08-15,1.0,Poor,Electronics
1999-08-16,3.6666666666666665,Fair,Electronics
1999-08-17,4.0,Good,Electronics
1999-08-18,5.0,Excellent,Electronics
1999-08-19,5.0,Excellent,Electronics
1999-08-20,5.0,Excellent,Electronics
1999-08-21,4.5,Excellent,Electronics
1999-08-23,3.0,Poor,Electronics
1999-08-24,3.6666666666666665,Fair,Electronics
1999-08-25,3.6666666666666665,Fair,Electronics
1999-08-26,5.0,Excellent,Electronics
1999-08-27,3.0,Poor,Electronics
1999-08-28,4.0,Good,Electronics
1999-08-30,5.0,Excellent,Electronics
1999-08-31,3.5,Fair,Electronics
1999-09-01,3.0,Poor,Electronics
1999-09-02,2.6666666666666665,Poor,Electronics
