Time,Rating,Sentiment,Product
1999,3.904422253922968,Average,Electronics
2000,3.9651136619401295,Good,Electronics
2001,3.74402481299033,Fair,Electronics
2002,3.620401337792642,Poor,Electronics
2003,3.611212861212861,Poor,Electronics
2004,3.5277358939766685,Poor,Electronics
2005,3.640859787043487,Poor,Electronics
2006,3.7001284825534215,Fair,Electronics
2007,3.9379655436571968,Good,Electronics
2008,3.9283677282497225,Average,Electronics
2009,3.92088187178164,Average,Electronics
2010,3.896274162071116,Average,Electronics
2011,3.911921280212086,Average,Electronics
2012,3.9792815160302095,Good,Electronics
2013,4.060264858984618,Good,Electronics
2014,4.0826718058948135,Excellent,Electronics
2015,4.10908320809866,Excellent,Electronics
