Time,Rating,Sentiment,Product
2000,4.909090909090909,Excellent,Furniture
2001,4.2368421052631575,Good,Furniture
2002,4.115942028985507,Good,Furniture
2003,3.8859375,Fair,Furniture
2004,3.4833333333333334,Poor,Furniture
2005,3.8225419664268583,Fair,Furniture
2006,3.801169590643275,Fair,Furniture
2007,3.890969162995595,Average,Furniture
2008,3.819533961328706,Fair,Furniture
2009,3.869406792012826,Fair,Furniture
2010,3.9385301993454327,Average,Furniture
2011,3.931578947368421,Average,Furniture
2012,3.9747724784732776,Average,Furniture
2013,4.045975989328591,Good,Furniture
2014,4.106397091046915,Good,Furniture
2015,4.157903699772676,Good,Furniture
