Time,Rating,Sentiment,Product
1999-09-05,5.0,Excellent,Grocery
1999-11-17,5.0,Excellent,Grocery
1999-11-21,5.0,Excellent,Grocery
1999-12-29,5.0,Excellent,Grocery
2000-12-05,4.0,Poor,Grocery
2001-10-09,5.0,Excellent,Grocery
2001-10-26,4.833333333333333,Excellent,Grocery
2001-10-29,5.0,Excellent,Grocery
2001-10-30,5.0,Excellent,Grocery
2001-10-31,5.0,Excellent,Grocery
2001-11-01,5.0,Excellent,Grocery
2001-11-03,5.0,Excellent,Grocery
2001-11-04,5.0,Excellent,Grocery
2001-11-05,5.0,Excellent,Grocery
2001-11-06,5.0,Excellent,Grocery
2001-11-14,5.0,Excellent,Grocery
2001-11-23,5.0,Excellent,Grocery
2001-11-24,5.0,Excellent,Grocery
2001-11-26,5.0,Excellent,Grocery
2001-11-27,5.0,Excellent,Grocery
2001-12-05,5.0,Excellent,Grocery
2001-12-06,5.0,Excellent,Grocery
2001-12-13,5.0,Excellent,Grocery
2001-12-27,5.0,Excellent,Grocery
2002-01-06,5.0,Excellent,Grocery
2002-01-09,5.0,Excellent,Grocery
2002-01-17,5.0,Excellent,Grocery
2002-01-28,5.0,Excellent,Grocery
2002-01-29,5.0,Excellent,Grocery
2002-02-28,5.0,Excellent,Grocery
2002-04-04,5.0,Excellent,Grocery
2002-04-07,5.0,Excellent,Grocery
2002-04-15,5.0,Excellent,Grocery
2002-04-23,5.0,Excellent,Grocery
2002-04-26,5.0,Excellent,Grocery
2002-05-09,5.0,Excellent,Grocery
2002-05-25,5.0,Excellent,Grocery
2002-05-26,5.0,Excellent,Grocery
2002-06-01,5.0,Excellent,Grocery
2002-06-04,1.0,Poor,Grocery
2002-06-06,5.0,Excellent,Grocery
2002-06-13,3.0,Poor,Grocery
2002-06-19,5.0,Excellent,Grocery
2002-07-11,4.5,Good,Grocery
2002-08-13,4.333333333333333,Average,Grocery
2002-08-16,5.0,Excellent,Grocery
2002-08-24,5.0,Excellent,Grocery
2002-09-20,5.0,Excellent,Grocery
2002-09-23,5.0,Excellent,Grocery
2002-09-25,5.0,Excellent,Grocery
2002-10-09,5.0,Excellent,Grocery
2002-10-18,5.0,Excellent,Grocery
2002-10-30,1.0,Poor,Grocery
2002-11-01,5.0,Excellent,Grocery
2002-11-04,5.0,Excellent,Grocery
2002-11-14,2.0,Poor,Grocery
2002-11-19,4.333333333333333,Average,Grocery
2002-12-03,5.0,Excellent,Grocery
2002-12-08,5.0,Excellent,Grocery
2002-12-12,3.0,Poor,Grocery
2002-12-19,2.0,Poor,Grocery
2002-12-20,4.0,Poor,Grocery
2002-12-23,5.0,Excellent,Grocery
2002-12-26,5.0,Excellent,Grocery
2002-12-27,5.0,Excellent,Grocery
2002-12-30,3.5,Poor,Grocery
2003-01-04,4.5,Good,Grocery
2003-01-11,4.0,Poor,Grocery
2003-01-16,5.0,Excellent,Grocery
2003-01-19,5.0,Excellent,Grocery
2003-01-24,4.5,Good,Grocery
2003-01-31,3.0,Poor,Grocery
2003-02-03,4.5,Good,Grocery
2003-02-06,5.0,Excellent,Grocery
2003-02-07,5.0,Excellent,Grocery
2003-02-09,1.0,Poor,Grocery
2003-02-18,5.0,Excellent,Grocery
2003-02-20,5.0,Excellent,Grocery
2003-02-24,5.0,Excellent,Grocery
2003-03-12,1.0,Poor,Grocery
2003-03-17,5.0,Excellent,Grocery
2003-03-18,5.0,Excellent,Grocery
2003-03-20,4.0,Poor,Grocery
2003-03-22,4.0,Poor,Grocery
2003-03-24,3.0,Poor,Grocery
2003-03-28,5.0,Excellent,Grocery
2003-04-05,5.0,Excellent,Grocery
2003-04-25,5.0,Excellent,Grocery
2003-05-01,2.0,Poor,Grocery
2003-05-04,5.0,Excellent,Grocery
2003-05-09,5.0,Excellent,Grocery
2003-05-10,5.0,Excellent,Grocery
2003-05-12,5.0,Excellent,Grocery
2003-05-19,2.0,Poor,Grocery
2003-05-24,5.0,Excellent,Grocery
2003-05-27,4.0,Poor,Grocery
2003-05-30,5.0,Excellent,Grocery
2003-06-02,4.0,Poor,Grocery
2003-06-13,1.0,Poor,Grocery
2003-06-14,5.0,Excellent,Grocery
2003-06-25,1.0,Poor,Grocery
2003-06-26,5.0,Excellent,Grocery
2003-07-03,5.0,Excellent,Grocery
2003-07-16,5.0,Excellent,Grocery
2003-08-03,2.0,Poor,Grocery
2003-08-06,4.0,Poor,Grocery
2003-08-12,5.0,Excellent,Grocery
2003-08-17,5.0,Excellent,Grocery
2003-08-18,5.0,Excellent,Grocery
2003-08-23,5.0,Excellent,Grocery
2003-08-30,5.0,Excellent,Grocery
2003-08-31,5.0,Excellent,Grocery
2003-09-03,5.0,Excellent,Grocery
2003-09-10,5.0,Excellent,Grocery
2003-09-13,5.0,Excellent,Grocery
2003-09-19,5.0,Excellent,Grocery
2003-09-23,5.0,Excellent,Grocery
2003-09-25,2.0,Poor,Grocery
2003-10-02,5.0,Excellent,Grocery
2003-10-06,5.0,Excellent,Grocery
2003-10-08,4.0,Poor,Grocery
2003-10-13,5.0,Excellent,Grocery
2003-10-15,5.0,Excellent,Grocery
2003-10-16,5.0,Excellent,Grocery
2003-10-17,5.0,Excellent,Grocery
2003-10-25,5.0,Excellent,Grocery
2003-10-27,4.5,Good,Grocery
2003-10-28,5.0,Excellent,Grocery
2003-10-29,5.0,Excellent,Grocery
2003-10-30,5.0,Excellent,Grocery
2003-10-31,4.9,Excellent,Grocery
2003-11-01,5.0,Excellent,Grocery
2003-11-02,2.0,Poor,Grocery
2003-11-03,4.333333333333333,Average,Grocery
2003-11-04,5.0,Excellent,Grocery
2003-11-05,4.545454545454546,Good,Grocery
2003-11-06,4.666666666666667,Excellent,Grocery
2003-11-07,4.666666666666667,Excellent,Grocery
2003-11-08,4.8,Excellent,Grocery
2003-11-09,5.0,Excellent,Grocery
2003-11-10,4.888888888888889,Excellent,Grocery
2003-11-11,4.615384615384615,Excellent,Grocery
2003-11-12,5.0,Excellent,Grocery
2003-11-13,5.0,Excellent,Grocery
2003-11-14,4.25,Average,Grocery
2003-11-15,5.0,Excellent,Grocery
2003-11-16,4.909090909090909,Excellent,Grocery
2003-11-17,5.0,Excellent,Grocery
2003-11-18,4.3,Average,Grocery
2003-11-19,4.75,Excellent,Grocery
2003-11-20,4.4,Good,Grocery
2003-11-21,4.833333333333333,Excellent,Grocery
2003-11-22,4.833333333333333,Excellent,Grocery
2003-11-23,4.0,Poor,Grocery
2003-11-24,5.0,Excellent,Grocery
2003-11-25,5.0,Excellent,Grocery
2003-11-26,3.8,Poor,Grocery
2003-11-27,5.0,Excellent,Grocery
2003-11-28,5.0,Excellent,Grocery
2003-11-29,3.0,Poor,Grocery
2003-11-30,5.0,Excellent,Grocery
2003-12-01,5.0,Excellent,Grocery
2003-12-02,4.6,Excellent,Grocery
2003-12-03,4.5,Good,Grocery
2003-12-04,4.2,Fair,Grocery
2003-12-05,3.857142857142857,Poor,Grocery
2003-12-06,5.0,Excellent,Grocery
2003-12-07,5.0,Excellent,Grocery
2003-12-09,4.666666666666667,Excellent,Grocery
2003-12-10,5.0,Excellent,Grocery
2003-12-11,4.8,Excellent,Grocery
2003-12-12,4.666666666666667,Excellent,Grocery
2003-12-13,3.5,Poor,Grocery
2003-12-14,5.0,Excellent,Grocery
2003-12-15,4.2,Fair,Grocery
2003-12-16,2.333333333333333,Poor,Grocery
2003-12-17,4.8,Excellent,Grocery
2003-12-18,4.666666666666667,Excellent,Grocery
2003-12-19,4.0,Poor,Grocery
2003-12-20,5.0,Excellent,Grocery
2003-12-21,3.0,Poor,Grocery
2003-12-22,4.0,Poor,Grocery
2003-12-23,4.666666666666667,Excellent,Grocery
2003-12-24,5.0,Excellent,Grocery
2003-12-25,4.666666666666667,Excellent,Grocery
2003-12-26,3.0,Poor,Grocery
2003-12-27,4.0,Poor,Grocery
2003-12-28,5.0,Excellent,Grocery
2003-12-29,5.0,Excellent,Grocery
2003-12-30,4.5,Good,Grocery
2003-12-31,5.0,Excellent,Grocery
2004-01-01,5.0,Excellent,Grocery
2004-01-02,3.6666666666666665,Poor,Grocery
2004-01-03,3.0,Poor,Grocery
2004-01-04,5.0,Excellent,Grocery
2004-01-05,5.0,Excellent,Grocery
2004-01-06,4.0,Poor,Grocery
2004-01-07,3.8,Poor,Grocery
2004-01-08,5.0,Excellent,Grocery
2004-01-09,3.75,Poor,Grocery
2004-01-10,5.0,Excellent,Grocery
2004-01-11,5.0,Excellent,Grocery
2004-01-12,4.857142857142857,Excellent,Grocery
2004-01-14,4.875,Excellent,Grocery
2004-01-15,4.875,Excellent,Grocery
2004-01-16,5.0,Excellent,Grocery
2004-01-17,5.0,Excellent,Grocery
2004-01-18,4.333333333333333,Average,Grocery
2004-01-19,5.0,Excellent,Grocery
2004-01-20,5.0,Excellent,Grocery
2004-01-21,4.75,Excellent,Grocery
2004-01-22,3.333333333333333,Poor,Grocery
2004-01-23,5.0,Excellent,Grocery
2004-01-24,4.333333333333333,Average,Grocery
2004-01-25,3.857142857142857,Poor,Grocery
2004-01-26,4.833333333333333,Excellent,Grocery
2004-01-27,5.0,Excellent,Grocery
2004-01-28,4.5,Good,Grocery
2004-01-29,5.0,Excellent,Grocery
2004-02-01,1.0,Poor,Grocery
2004-02-03,5.0,Excellent,Grocery
2004-02-04,5.0,Excellent,Grocery
2004-02-05,5.0,Excellent,Grocery
2004-02-06,5.0,Excellent,Grocery
2004-02-07,3.0,Poor,Grocery
2004-02-08,5.0,Excellent,Grocery
2004-02-09,5.0,Excellent,Grocery
2004-02-10,5.0,Excellent,Grocery
2004-02-11,5.0,Excellent,Grocery
2004-02-12,5.0,Excellent,Grocery
2004-02-14,5.0,Excellent,Grocery
2004-02-15,4.5,Good,Grocery
2004-02-16,4.6,Excellent,Grocery
2004-02-17,5.0,Excellent,Grocery
