Time,Rating,Sentiment,Product
1999,5.0,Excellent,Grocery
2000,4.0,Poor,Grocery
2001,4.96,Excellent,Grocery
2002,4.462962962962963,Good,Grocery
2003,4.564516129032258,Good,Grocery
2004,4.533980582524272,Good,Grocery
2005,4.460195172059579,Good,Grocery
2006,4.226920854997111,Fair,Grocery
2007,4.322221823531523,Average,Grocery
2008,4.30626067495141,Average,Grocery
2009,4.269145156457343,Fair,Grocery
2010,4.217235538366986,Fair,Grocery
2011,4.139824396927848,Fair,Grocery
2012,4.181679422367039,Fair,Grocery
2013,4.295915948251987,Average,Grocery
2014,4.330465663670525,Average,Grocery
2015,4.37434142172356,Average,Grocery
