Time,Rating,Sentiment,Product
1999-02-06,5.0,Excellent,Health & Personal Care
1999-08-07,5.0,Excellent,Health & Personal Care
1999-08-26,5.0,Excellent,Health & Personal Care
1999-09-24,4.0,Fair,Health & Personal Care
1999-10-21,1.0,Poor,Health & Personal Care
1999-11-02,5.0,Excellent,Health & Personal Care
1999-11-10,1.0,Poor,Health & Personal Care
1999-12-04,4.0,Fair,Health & Personal Care
1999-12-17,5.0,Excellent,Health & Personal Care
1999-12-27,5.0,Excellent,Health & Personal Care
2000-02-14,5.0,Excellent,Health & Personal Care
2000-04-12,5.0,Excellent,Health & Personal Care
2000-04-29,5.0,Excellent,Health & Personal Care
2000-05-03,5.0,Excellent,Health & Personal Care
2000-05-16,4.0,Fair,Health & Personal Care
2000-06-03,4.0,Fair,Health & Personal Care
2000-06-12,5.0,Excellent,Health & Personal Care
2000-06-13,5.0,Excellent,Health & Personal Care
2000-06-15,5.0,Excellent,Health & Personal Care
2000-06-16,3.0,Poor,Health & Personal Care
2000-06-19,5.0,Excellent,Health & Personal Care
2000-06-20,4.0,Fair,Health & Personal Care
2000-06-21,4.666666666666667,Excellent,Health & Personal Care
2000-06-23,4.5,Excellent,Health & Personal Care
2000-06-25,5.0,Excellent,Health & Personal Care
2000-06-26,4.333333333333333,Excellent,Health & Personal Care
2000-07-02,4.5,Excellent,Health & Personal Care
2000-07-03,1.0,Poor,Health & Personal Care
2000-07-06,5.0,Excellent,Health & Personal Care
2000-07-10,5.0,Excellent,Health & Personal Care
2000-07-16,5.0,Excellent,Health & Personal Care
2000-07-28,5.0,Excellent,Health & Personal Care
2000-08-01,5.0,Excellent,Health & Personal Care
2000-08-14,4.0,Fair,Health & Personal Care
2000-08-19,4.0,Fair,Health & Personal Care
2000-08-24,5.0,Excellent,Health & Personal Care
2000-08-26,5.0,Excellent,Health & Personal Care
2000-08-28,5.0,Excellent,Health & Personal Care
2000-09-01,5.0,Excellent,Health & Personal Care
2000-09-02,5.0,Excellent,Health & Personal Care
2000-09-03,4.0,Fair,Health & Personal Care
2000-09-20,5.0,Excellent,Health & Personal Care
2000-09-23,5.0,Excellent,Health & Personal Care
2000-10-02,1.0,Poor,Health & Personal Care
2000-10-12,5.0,Excellent,Health & Personal Care
2000-10-22,5.0,Excellent,Health & Personal Care
2000-10-23,3.0,Poor,Health & Personal Care
2000-10-26,5.0,Excellent,Health & Personal Care
2000-10-27,5.0,Excellent,Health & Personal Care
2000-10-31,5.0,Excellent,Health & Personal Care
