Time,Rating,Sentiment,Product
1999,4.0,Fair,Health & Personal Care
2000,4.425531914893617,Excellent,Health & Personal Care
2001,4.004385964912281,Fair,Health & Personal Care
2002,3.674747474747474,Poor,Health & Personal Care
2003,3.723263506063947,Poor,Health & Personal Care
2004,4.01951951951952,Average,Health & Personal Care
2005,4.007332854061826,Fair,Health & Personal Care
2006,4.02422783794625,Average,Health & Personal Care
2007,4.133489131658971,Good,Health & Personal Care
2008,4.108140601120733,Good,Health & Personal Care
2009,4.028507445608644,Average,Health & Personal Care
2010,3.993501258944477,Fair,Health & Personal Care
2011,4.008456409096295,Average,Health & Personal Care
2012,4.042624640945877,Average,Health & Personal Care
2013,4.10252653648747,Good,Health & Personal Care
2014,4.167598858579477,Excellent,Health & Personal Care
2015,4.238305925612631,Excellent,Health & Personal Care
