Time,Rating,Sentiment,Product
2001,4.0,Excellent,Mobile_Electronics
2002,3.357142857142857,Poor,Mobile_Electronics
2003,2.3278688524590163,Poor,Mobile_Electronics
2004,3.7217391304347824,Average,Mobile_Electronics
2005,3.2723214285714284,Poor,Mobile_Electronics
2006,3.383747178329571,Poor,Mobile_Electronics
2007,3.6062364031907177,Poor,Mobile_Electronics
2008,3.689142857142857,Average,Mobile_Electronics
2009,3.688073394495413,Average,Mobile_Electronics
2010,3.714183278359386,Average,Mobile_Electronics
2011,3.723837452869711,Good,Mobile_Electronics
2012,3.72262820927375,Average,Mobile_Electronics
2013,3.839229883166036,Excellent,Mobile_Electronics
2014,3.7523332574550414,Good,Mobile_Electronics
2015,3.808133472367049,Excellent,Mobile_Electronics
