Time,Rating,Sentiment,Product
1999,5.0,Excellent,Outdoors
2000,4.105263157894737,Average,Outdoors
2001,4.162162162162162,Good,Outdoors
2002,3.71,Poor,Outdoors
2003,3.642307692307692,Poor,Outdoors
2004,3.9642058165548097,Poor,Outdoors
2005,3.9332355099046223,Poor,Outdoors
2006,3.9443316903450274,Poor,Outdoors
2007,4.1371986222732495,Average,Outdoors
2008,4.074243289548829,Fair,Outdoors
2009,4.091879272969818,Average,Outdoors
2010,4.0991878632971925,Average,Outdoors
2011,4.1262223962573295,Average,Outdoors
2012,4.161618581584921,Good,Outdoors
2013,4.237686769772319,Good,Outdoors
2014,4.254046315345548,Excellent,Outdoors
2015,4.282001396335073,Excellent,Outdoors
