Time,Rating,Sentiment,Product
2000-10-29,5.0,Excellent,Personal_Care_Appliances
2000-11-08,2.0,Poor,Personal_Care_Appliances
2000-11-11,5.0,Excellent,Personal_Care_Appliances
2000-11-12,5.0,Excellent,Personal_Care_Appliances
2000-11-16,3.0,Poor,Personal_Care_Appliances
2000-11-22,4.666666666666667,Excellent,Personal_Care_Appliances
2000-11-26,5.0,Excellent,Personal_Care_Appliances
2000-11-27,4.5,Good,Personal_Care_Appliances
2000-11-28,5.0,Excellent,Personal_Care_Appliances
2000-12-02,5.0,Excellent,Personal_Care_Appliances
2000-12-06,4.0,Average,Personal_Care_Appliances
2000-12-13,4.0,Average,Personal_Care_Appliances
2000-12-14,5.0,Excellent,Personal_Care_Appliances
2000-12-16,4.0,Average,Personal_Care_Appliances
2000-12-17,5.0,Excellent,Personal_Care_Appliances
2000-12-20,5.0,Excellent,Personal_Care_Appliances
2000-12-21,5.0,Excellent,Personal_Care_Appliances
2000-12-26,5.0,Excellent,Personal_Care_Appliances
2000-12-27,3.0,Poor,Personal_Care_Appliances
2000-12-28,5.0,Excellent,Personal_Care_Appliances
2000-12-29,3.0,Poor,Personal_Care_Appliances
2001-01-02,4.0,Average,Personal_Care_Appliances
2001-01-05,5.0,Excellent,Personal_Care_Appliances
2001-01-06,5.0,Excellent,Personal_Care_Appliances
2001-01-09,5.0,Excellent,Personal_Care_Appliances
2001-01-15,3.0,Poor,Personal_Care_Appliances
2001-01-16,5.0,Excellent,Personal_Care_Appliances
2001-01-17,5.0,Excellent,Personal_Care_Appliances
2001-01-19,3.5,Fair,Personal_Care_Appliances
2001-01-21,4.0,Average,Personal_Care_Appliances
2001-01-25,3.0,Poor,Personal_Care_Appliances
2001-01-28,3.0,Poor,Personal_Care_Appliances
2001-01-31,5.0,Excellent,Personal_Care_Appliances
2001-02-04,5.0,Excellent,Personal_Care_Appliances
2001-02-07,5.0,Excellent,Personal_Care_Appliances
2001-02-09,5.0,Excellent,Personal_Care_Appliances
2001-02-16,5.0,Excellent,Personal_Care_Appliances
2001-02-17,5.0,Excellent,Personal_Care_Appliances
2001-02-18,5.0,Excellent,Personal_Care_Appliances
2001-02-23,3.0,Poor,Personal_Care_Appliances
2001-02-27,2.0,Poor,Personal_Care_Appliances
2001-02-28,4.0,Average,Personal_Care_Appliances
2001-03-02,5.0,Excellent,Personal_Care_Appliances
2001-03-06,5.0,Excellent,Personal_Care_Appliances
2001-03-07,5.0,Excellent,Personal_Care_Appliances
2001-03-20,5.0,Excellent,Personal_Care_Appliances
2001-03-23,5.0,Excellent,Personal_Care_Appliances
2001-03-25,5.0,Excellent,Personal_Care_Appliances
2001-03-29,1.0,Poor,Personal_Care_Appliances
2001-03-30,5.0,Excellent,Personal_Care_Appliances
2001-04-03,5.0,Excellent,Personal_Care_Appliances
2001-04-05,1.0,Poor,Personal_Care_Appliances
2001-04-07,5.0,Excellent,Personal_Care_Appliances
2001-04-09,4.0,Average,Personal_Care_Appliances
2001-04-17,3.0,Poor,Personal_Care_Appliances
2001-04-24,4.5,Good,Personal_Care_Appliances
2001-04-25,3.0,Poor,Personal_Care_Appliances
2001-05-03,5.0,Excellent,Personal_Care_Appliances
2001-05-04,4.0,Average,Personal_Care_Appliances
2001-05-08,5.0,Excellent,Personal_Care_Appliances
2001-05-10,5.0,Excellent,Personal_Care_Appliances
2001-05-13,5.0,Excellent,Personal_Care_Appliances
2001-05-22,1.0,Poor,Personal_Care_Appliances
2001-05-25,2.333333333333333,Poor,Personal_Care_Appliances
2001-05-27,5.0,Excellent,Personal_Care_Appliances
2001-05-29,5.0,Excellent,Personal_Care_Appliances
2001-05-30,5.0,Excellent,Personal_Care_Appliances
2001-06-01,4.0,Average,Personal_Care_Appliances
2001-06-02,3.0,Poor,Personal_Care_Appliances
2001-06-03,3.0,Poor,Personal_Care_Appliances
2001-06-05,4.0,Average,Personal_Care_Appliances
2001-06-06,5.0,Excellent,Personal_Care_Appliances
2001-06-08,5.0,Excellent,Personal_Care_Appliances
2001-06-09,2.6666666666666665,Poor,Personal_Care_Appliances
