Time,Rating,Sentiment,Product
1997-10-09,4.0,Fair,Sports
1998-04-01,2.0,Poor,Sports
1999-02-09,5.0,Excellent,Sports
1999-04-02,3.0,Poor,Sports
1999-07-03,1.0,Poor,Sports
1999-07-13,5.0,Excellent,Sports
1999-07-17,5.0,Excellent,Sports
1999-07-27,5.0,Excellent,Sports
1999-09-16,5.0,Excellent,Sports
1999-09-27,3.0,Poor,Sports
1999-10-17,5.0,Excellent,Sports
1999-11-10,5.0,Excellent,Sports
1999-11-11,4.666666666666667,Excellent,Sports
1999-11-12,4.0,Fair,Sports
1999-11-16,5.0,Excellent,Sports
1999-11-17,5.0,Excellent,Sports
1999-11-18,4.0,Fair,Sports
1999-11-19,2.0,Poor,Sports
1999-11-23,5.0,Excellent,Sports
1999-11-24,5.0,Excellent,Sports
1999-11-26,5.0,Excellent,Sports
1999-11-27,5.0,Excellent,Sports
1999-11-28,5.0,Excellent,Sports
1999-11-29,5.0,Excellent,Sports
1999-11-30,5.0,Excellent,Sports
1999-12-01,4.5,Excellent,Sports
1999-12-03,5.0,Excellent,Sports
1999-12-06,4.5,Excellent,Sports
1999-12-10,5.0,Excellent,Sports
1999-12-12,3.0,Poor,Sports
1999-12-18,5.0,Excellent,Sports
1999-12-19,4.0,Fair,Sports
1999-12-22,5.0,Excellent,Sports
1999-12-24,5.0,Excellent,Sports
1999-12-25,5.0,Excellent,Sports
1999-12-27,4.6,Excellent,Sports
1999-12-28,4.666666666666667,Excellent,Sports
1999-12-29,5.0,Excellent,Sports
1999-12-30,4.5,Excellent,Sports
2000-01-01,5.0,Excellent,Sports
2000-01-02,4.0,Fair,Sports
2000-01-03,5.0,Excellent,Sports
2000-01-04,5.0,Excellent,Sports
2000-01-07,3.0,Poor,Sports
2000-01-09,5.0,Excellent,Sports
2000-01-11,5.0,Excellent,Sports
2000-01-14,5.0,Excellent,Sports
2000-01-15,4.5,Excellent,Sports
2000-01-16,1.0,Poor,Sports
2000-01-17,5.0,Excellent,Sports
2000-01-18,4.0,Fair,Sports
2000-01-19,3.0,Poor,Sports
2000-01-21,5.0,Excellent,Sports
2000-01-24,5.0,Excellent,Sports
2000-01-25,5.0,Excellent,Sports
2000-01-28,5.0,Excellent,Sports
2000-01-29,5.0,Excellent,Sports
2000-01-31,4.5,Excellent,Sports
2000-02-05,5.0,Excellent,Sports
2000-02-10,4.0,Fair,Sports
2000-02-11,5.0,Excellent,Sports
2000-02-15,5.0,Excellent,Sports
2000-02-23,4.0,Fair,Sports
2000-02-25,5.0,Excellent,Sports
2000-02-28,3.0,Poor,Sports
2000-03-01,3.0,Poor,Sports
2000-03-02,5.0,Excellent,Sports
2000-03-03,5.0,Excellent,Sports
2000-03-04,5.0,Excellent,Sports
2000-03-08,4.0,Fair,Sports
2000-03-11,4.5,Excellent,Sports
2000-03-12,4.0,Fair,Sports
2000-03-17,5.0,Excellent,Sports
2000-03-22,3.0,Poor,Sports
2000-03-27,5.0,Excellent,Sports
2000-04-03,5.0,Excellent,Sports
2000-04-07,5.0,Excellent,Sports
2000-04-08,5.0,Excellent,Sports
2000-04-11,5.0,Excellent,Sports
2000-04-13,5.0,Excellent,Sports
2000-04-16,5.0,Excellent,Sports
2000-04-17,5.0,Excellent,Sports
2000-04-20,5.0,Excellent,Sports
2000-04-23,5.0,Excellent,Sports
2000-04-27,3.0,Poor,Sports
2000-04-28,5.0,Excellent,Sports
2000-05-01,2.5,Poor,Sports
2000-05-03,5.0,Excellent,Sports
2000-05-05,1.0,Poor,Sports
2000-05-07,5.0,Excellent,Sports
2000-05-11,5.0,Excellent,Sports
2000-05-13,2.0,Poor,Sports
