Time,Rating,Sentiment,Product
1997,4.0,Average,Sports
1998,2.0,Poor,Sports
1999,4.482142857142857,Excellent,Sports
2000,4.275167785234899,Good,Sports
2001,4.176829268292683,Good,Sports
2002,3.971428571428572,Fair,Sports
2003,3.906530089628681,Fair,Sports
2004,3.779595350839432,Poor,Sports
2005,3.688495575221239,Poor,Sports
2006,3.897011012060828,Fair,Sports
2007,4.067278701853044,Average,Sports
2008,4.045674605115164,Average,Sports
2009,4.01272712187837,Average,Sports
2010,3.998686448012871,Fair,Sports
2011,4.088750399798404,Average,Sports
2012,4.1269799068658255,Good,Sports
2013,4.212282776623515,Good,Sports
2014,4.251027284217182,Good,Sports
2015,4.296504230986467,Excellent,Sports
