Time,Rating,Sentiment,Product
1999-11,4.471153846153846,Excellent,Tools
1999-12,4.315315315315315,Excellent,Tools
2000-01,4.095238095238095,Average,Tools
2000-02,4.278787878787878,Good,Tools
2000-03,4.191011235955056,Good,Tools
2000-04,4.285714285714286,Excellent,Tools
2000-05,4.37696335078534,Excellent,Tools
2000-06,4.381642512077295,Excellent,Tools
2000-07,4.290404040404041,Excellent,Tools
2000-08,4.356902356902357,Excellent,Tools
2000-09,4.19672131147541,Good,Tools
2000-10,4.1067073170731705,Average,Tools
2000-11,4.190348525469169,Good,Tools
2000-12,4.187845303867404,Good,Tools
2001-01,4.171568627450981,Good,Tools
2001-02,4.121019108280255,Average,Tools
2001-03,4.1067073170731705,Average,Tools
2001-04,4.086142322097379,Fair,Tools
2001-05,3.985981308411215,Fair,Tools
2001-06,4.161073825503356,Average,Tools
2001-07,4.226277372262774,Good,Tools
2001-08,4.222602739726027,Good,Tools
2001-09,4.096385542168675,Average,Tools
2001-10,4.045454545454546,Fair,Tools
2001-11,4.037333333333334,Fair,Tools
2001-12,4.113821138211383,Average,Tools
2002-01,4.206818181818182,Good,Tools
2002-02,4.204419889502763,Good,Tools
2002-03,4.103641456582633,Average,Tools
2002-04,4.086261980830671,Fair,Tools
2002-05,4.180272108843537,Good,Tools
2002-06,4.211180124223603,Good,Tools
2002-07,4.074193548387097,Fair,Tools
2002-08,3.972049689440994,Fair,Tools
2002-09,3.940251572327044,Poor,Tools
2002-10,4.109756097560975,Average,Tools
2002-11,4.115631691648822,Average,Tools
2002-12,4.085661080074488,Fair,Tools
2003-01,4.115658362989324,Average,Tools
2003-02,4.091764705882353,Average,Tools
2003-03,4.117936117936118,Average,Tools
2003-04,4.058631921824104,Fair,Tools
2003-05,3.949554896142433,Poor,Tools
2003-06,4.127586206896551,Average,Tools
2003-07,3.8216783216783217,Poor,Tools
2003-08,4.003225806451613,Fair,Tools
2003-09,4.12463768115942,Average,Tools
2003-10,4.027863777089784,Fair,Tools
2003-11,3.952272727272727,Poor,Tools
2003-12,4.010482180293501,Fair,Tools
2004-01,3.980353634577603,Fair,Tools
2004-02,3.859243697478992,Poor,Tools
2004-03,3.923444976076555,Poor,Tools
2004-04,3.910761154855643,Poor,Tools
2004-05,3.884831460674157,Poor,Tools
2004-06,3.853260869565217,Poor,Tools
2004-07,3.900990099009901,Poor,Tools
2004-08,3.938053097345133,Poor,Tools
2004-09,3.8776223776223775,Poor,Tools
2004-10,4.005899705014749,Fair,Tools
2004-11,3.839541547277937,Poor,Tools
2004-12,3.765726681127983,Poor,Tools
2005-01,3.7621832358674463,Poor,Tools
2005-02,3.713157894736842,Poor,Tools
2005-03,3.948356807511737,Poor,Tools
2005-04,3.7883435582822087,Poor,Tools
2005-05,3.627906976744186,Poor,Tools
2005-06,3.8028169014084505,Poor,Tools
2005-07,3.9831775700934577,Fair,Tools
2005-08,4.10920245398773,Average,Tools
2005-09,4.038372093023256,Fair,Tools
2005-10,4.051209103840683,Fair,Tools
2005-11,3.765625,Poor,Tools
2005-12,3.8341793570219966,Poor,Tools
2006-01,3.9640102827763495,Poor,Tools
2006-02,4.166048237476809,Good,Tools
2006-03,4.200842696629214,Good,Tools
2006-04,3.7490494296577945,Poor,Tools
2006-05,4.008403361344538,Fair,Tools
2006-06,3.962756052141527,Poor,Tools
2006-07,4.122923588039867,Average,Tools
2006-08,4.143947655398037,Average,Tools
2006-09,3.8402777777777777,Poor,Tools
2006-10,3.792079207920792,Poor,Tools
2006-11,4.117836965294592,Average,Tools
2006-12,3.916152897657213,Poor,Tools
2007-01,4.274882995319813,Good,Tools
2007-02,4.238022813688213,Good,Tools
2007-03,4.186127167630058,Good,Tools
2007-04,4.163602941176471,Average,Tools
2007-05,4.264090177133656,Good,Tools
2007-06,4.170193192272309,Good,Tools
2007-07,4.143497757847534,Average,Tools
2007-08,4.102964118564743,Average,Tools
2007-09,4.156925540432346,Average,Tools
2007-10,4.123733719247468,Average,Tools
2007-11,4.108960573476702,Average,Tools
2007-12,4.146251319957761,Average,Tools
2008-01,4.135832521908471,Average,Tools
2008-02,4.134328358208955,Average,Tools
2008-03,4.1465778316172015,Average,Tools
2008-04,4.154177897574124,Average,Tools
2008-05,4.140958983246678,Average,Tools
2008-06,4.127456819535438,Average,Tools
2008-07,4.173189823874756,Good,Tools
2008-08,4.19979455572676,Good,Tools
2008-09,4.10791729702471,Average,Tools
2008-10,4.185817805383023,Good,Tools
2008-11,4.103036336485814,Average,Tools
2008-12,4.099957823703079,Average,Tools
2009-01,4.204369747899159,Good,Tools
2009-02,4.176188399476668,Good,Tools
2009-03,4.178665496049166,Good,Tools
2009-04,4.1307072515666965,Average,Tools
2009-05,4.222781335773101,Good,Tools
2009-06,4.101745423584504,Average,Tools
2009-07,3.965723612622416,Poor,Tools
2009-08,4.031996179560649,Fair,Tools
2009-09,4.13855421686747,Average,Tools
2009-10,4.112621359223301,Average,Tools
2009-11,4.035645098798915,Fair,Tools
2009-12,4.048586572438163,Fair,Tools
2010-01,4.07136431784108,Fair,Tools
2010-02,4.1351274787535415,Average,Tools
2010-03,4.122190201729107,Average,Tools
2010-04,4.110368956743002,Average,Tools
2010-05,4.084183673469388,Fair,Tools
2010-06,4.074171316048572,Fair,Tools
2010-07,4.080065359477124,Fair,Tools
2010-08,4.058136375984787,Fair,Tools
2010-09,4.048074502894538,Fair,Tools
2010-10,4.067642604745078,Fair,Tools
2010-11,4.127899686520376,Average,Tools
2010-12,4.083391003460208,Fair,Tools
