Time,Rating,Sentiment,Product
1999,4.365030674846626,Excellent,Tools
2000,4.255694760820045,Good,Tools
2001,4.116883116883117,Average,Tools
2002,4.110062893081761,Average,Tools
2003,4.039033045021069,Fair,Tools
2004,3.8941527955612463,Poor,Tools
2005,3.912002588159172,Poor,Tools
2006,4.053615294243298,Fair,Tools
2007,4.185415338857021,Good,Tools
2008,4.141686538044657,Average,Tools
2009,4.114074474190608,Average,Tools
2010,4.088696034274415,Fair,Tools
2011,4.093486797562627,Fair,Tools
2012,4.155715466296602,Average,Tools
2013,4.244494302039571,Good,Tools
2014,4.294212203518718,Excellent,Tools
2015,4.333704318227002,Excellent,Tools
